Target gene;Representative transcript;Gene name;3P-seq tags + 5;Total sites;8mer sites;7mer-m8 sites;7mer-A1 sites;6mer sites;Representative miRNA;Predicted occupancy (low miRNA);Predicted occupancy (high miRNA);Predicted occupancy (transfected miRNA);Cumulative weighted context++ score;Total context++ score;"Aggregate PCT
"
CENPQ;ENST00000335783.3;centromere protein Q ;249;1;1;0;0;0;hsa-miR-584-5p;0,0052;0,0374;0,2228;-0,52;-0,52;"N/A
"
LYPD1;ENST00000397463.2;LY6/PLAUR domain containing 1 ;347;1;1;0;0;0;hsa-miR-584-5p;0,0044;0,0319;0,2006;-0,51;-0,54;"N/A
"
GYPE;ENST00000358615.4;glycophorin E (MNS blood group) ;5;1;1;0;0;1;hsa-miR-584-5p;0,0079;0,0569;0,3524;-0,51;-0,51;"N/A
"
ZIK1;ENST00000307468.4;zinc finger protein interacting with K protein 1 ;64;2;1;1;0;0;hsa-miR-584-5p;0,0062;0,0451;0,2896;-0,51;-0,63;"N/A
"
NEUROD4;ENST00000242994.3;neuronal differentiation 4 ;5;2;2;0;0;0;hsa-miR-584-5p;0,0125;0,0904;0,5699;-0,5;-0,5;"N/A
"
UBTD2;ENST00000393792.2;ubiquitin domain containing 2 ;297;1;1;0;0;0;hsa-miR-584-5p;0,006;0,0434;0,278;-0,5;-0,5;"N/A
"
CYP2J2;ENST00000371204.3;cytochrome P450, family 2, subfamily J, polypeptide 2 ;22;1;1;0;0;0;hsa-miR-584-5p;0,0023;0,0168;0,1155;-0,5;-0,5;"N/A
"
TAF13;ENST00000338366.5;TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa ;745;2;0;2;0;1;hsa-miR-584-5p;0,0052;0,0378;0,2612;-0,5;-0,5;"N/A
"
ANGPTL5;ENST00000334289.3;angiopoietin-like 5 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0075;0,0526;0,2943;-0,49;-0,49;"N/A
"
ZNF268;ENST00000542986.2;zinc finger protein 268 ;156;5;0;5;0;0;hsa-miR-584-5p;0,0071;0,0516;0,3496;-0,49;-0,77;"N/A
"
BTNL3;ENST00000342868.6;butyrophilin-like 3 ;5;2;0;1;1;0;hsa-miR-584-5p;0,0069;0,0499;0,3052;-0,48;-0,48;"N/A
"
AVPR1A;ENST00000299178.2;arginine vasopressin receptor 1A ;9;2;1;0;1;0;hsa-miR-584-5p;0,0087;0,0624;0,3757;-0,48;-0,52;"N/A
"
TMEM212;ENST00000334567.5;transmembrane protein 212 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0075;0,0538;0,3318;-0,48;-0,48;"N/A
"
C2orf83;ENST00000409066.1;chromosome 2 open reading frame 83 ;5;1;1;0;0;1;hsa-miR-584-5p;0,0041;0,0296;0,1944;-0,47;-0,47;"N/A
"
MORC3;ENST00000400485.1;MORC family CW-type zinc finger 3 ;142;2;1;1;0;0;hsa-miR-584-5p;0,0121;0,0871;0,5487;-0,47;-0,47;"N/A
"
FGF10;ENST00000264664.4;fibroblast growth factor 10 ;5;2;0;2;0;1;hsa-miR-584-5p;0,0038;0,0277;0,1894;-0,47;-0,51;"N/A
"
HOXA11;ENST00000006015.3;homeobox A11 ;133;1;1;0;0;0;hsa-miR-584-5p;0,0025;0,0185;0,1222;-0,47;-0,47;"N/A
"
SLC25A40;ENST00000341119.5;solute carrier family 25, member 40 ;405;2;1;1;0;1;hsa-miR-584-5p;0,0073;0,0531;0,3417;-0,46;-0,48;"N/A
"
ZNF195;ENST00000438262.2;zinc finger protein 195 ;389;2;1;1;0;0;hsa-miR-584-5p;0,0048;0,0347;0,2271;-0,46;-0,48;"N/A
"
ZNF233;ENST00000592581.1;zinc finger protein 233 ;6;3;0;3;0;0;hsa-miR-584-5p;0,0052;0,0383;0,2611;-0,46;-0,46;"N/A
"
TMEM248;ENST00000341567.4;transmembrane protein 248 ;3207;2;1;1;0;1;hsa-miR-584-5p;0,007;0,0509;0,3304;-0,46;-0,48;"N/A
"
AKNAD1;ENST00000370001.3;AKNA domain containing 1 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0043;0,0307;0,1929;-0,46;-0,46;"N/A
"
CD200;ENST00000315711.8;CD200 molecule ;5;1;1;0;0;0;hsa-miR-584-5p;0,0112;0,0774;0,3857;-0,46;-0,46;"N/A
"
PRRX1;ENST00000367760.3;paired related homeobox 1 ;57;2;1;0;1;0;hsa-miR-584-5p;0,0091;0,065;0,3949;-0,45;-0,48;"N/A
"
AP003068.23;ENST00000526623.1;Uncharacterized protein  ;13;1;1;0;0;0;hsa-miR-584-5p;0,0036;0,0258;0,1637;-0,45;-0,45;"N/A
"
YKT6;ENST00000223369.2;YKT6 v-SNARE homolog (S. cerevisiae) ;2409;1;1;0;0;0;hsa-miR-584-5p;0,0033;0,024;0,1537;-0,44;-0,44;"N/A
"
RP11-552I14.1;ENST00000547418.1;Uncharacterized protein  ;5;1;0;1;0;0;hsa-miR-584-5p;0,0025;0,0185;0,1227;-0,44;-0,44;"N/A
"
HDAC1;ENST00000373548.3;histone deacetylase 1 ;83;2;2;0;0;0;hsa-miR-584-5p;0,003;0,0219;0,1499;-0,44;-0,5;"N/A
"
CHORDC1;ENST00000320585.6;cysteine and histidine-rich domain (CHORD) containing 1 ;891;2;1;1;0;0;hsa-miR-584-5p;0,0172;0,117;0,5525;-0,44;-0,44;"N/A
"
SUCNR1;ENST00000362032.5;succinate receptor 1 ;5;3;1;1;1;0;hsa-miR-584-5p;0,0086;0,0621;0,402;-0,44;-0,44;"N/A
"
SLC35D3;ENST00000331858.4;solute carrier family 35, member D3 ;13;1;1;0;0;0;hsa-miR-584-5p;0,0076;0,0538;0,3127;-0,43;-0,43;"N/A
"
E2F5;ENST00000418930.2;E2F transcription factor 5, p130-binding ;10;1;1;0;0;0;hsa-miR-584-5p;0,0044;0,0313;0,1929;-0,43;-0,43;"N/A
"
ADAMDEC1;ENST00000256412.4;ADAM-like, decysin 1 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0049;0,0354;0,2363;-0,43;-0,43;"N/A
"
FAM78B;ENST00000354422.3;family with sequence similarity 78, member B ;9;1;1;0;0;0;hsa-miR-584-5p;0,0026;0,0189;0,1247;-0,43;-0,43;"N/A
"
C22orf24;ENST00000248984.3;chromosome 22 open reading frame 24 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0025;0,0184;0,1216;-0,42;-0,42;"N/A
"
ANKRD18A;ENST00000399703.5;ankyrin repeat domain 18A ;5;1;1;0;0;1;hsa-miR-584-5p;0,0046;0,0333;0,225;-0,42;-0,42;"N/A
"
XCL1;ENST00000367818.3;chemokine (C motif) ligand 1 ;24;1;1;0;0;0;hsa-miR-584-5p;0,004;0,0288;0,1796;-0,42;-0,42;"N/A
"
SEC24D;ENST00000429811.2;SEC24 family, member D (S. cerevisiae) ;50;2;1;0;1;2;hsa-miR-584-5p;0,0065;0,0477;0,3213;-0,42;-0,42;"N/A
"
CCNC;ENST00000520371.1;cyclin C ;524;1;1;0;0;0;hsa-miR-584-5p;0,0081;0,0575;0,3291;-0,42;-0,43;"N/A
"
ADNP2;ENST00000262198.4;ADNP homeobox 2 ;808;1;1;0;0;0;hsa-miR-584-5p;0,0054;0,0388;0,255;-0,42;-0,42;"N/A
"
TAZ;ENST00000299328.5;tafazzin ;1269;1;1;0;0;0;hsa-miR-584-5p;0,0023;0,0171;0,1137;-0,41;-0,41;"N/A
"
FBLN5;ENST00000267620.10;fibulin 5 ;146;1;1;0;0;0;hsa-miR-584-5p;0,0038;0,0273;0,1758;-0,41;-0,42;"N/A
"
GNG12;ENST00000370982.3;guanine nucleotide binding protein (G protein), gamma 12 ;1362;1;1;0;0;0;hsa-miR-584-5p;0,0072;0,0506;0,2794;-0,41;-0,43;"N/A
"
PRPF19;ENST00000227524.4;pre-mRNA processing factor 19 ;1583;1;1;0;0;0;hsa-miR-584-5p;0,0052;0,0372;0,2241;-0,41;-0,42;"N/A
"
NEK3;ENST00000339406.3;NIMA-related kinase 3 ;66;1;1;0;0;0;hsa-miR-584-5p;0,0046;0,0332;0,2027;-0,41;-0,41;"N/A
"
MCPH1;ENST00000519480.1;microcephalin 1 ;167;2;1;1;0;0;hsa-miR-584-5p;0,0038;0,0277;0,1865;-0,41;-0,46;"N/A
"
NRXN1;ENST00000342183.5;neurexin 1 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0069;0,0493;0,3052;-0,41;-0,41;"N/A
"
POGLUT1;ENST00000295588.4;protein O-glucosyltransferase 1 ;262;3;1;0;2;1;hsa-miR-584-5p;0,0068;0,0491;0,3243;-0,4;-0,46;"N/A
"
SPIN1;ENST00000375859.3;spindlin 1 ;686;2;1;1;0;1;hsa-miR-584-5p;0,0082;0,0586;0,359;-0,4;-0,4;"N/A
"
NDFIP2;ENST00000218652.7;Nedd4 family interacting protein 2 ;1747;1;1;0;0;1;hsa-miR-584-5p;0,0043;0,0311;0,2095;-0,4;-0,44;"N/A
"
GBP5;ENST00000343435.5;guanylate binding protein 5 ;5;2;2;0;0;0;hsa-miR-584-5p;0,0028;0,0207;0,1383;-0,4;-0,85;"N/A
"
KIAA1841;ENST00000402291.1;KIAA1841 ;62;2;0;2;0;0;hsa-miR-584-5p;0,0071;0,0512;0,3326;-0,4;-0,4;"N/A
"
AIDA;ENST00000340020.6;axin interactor, dorsalization associated ;48;1;1;0;0;0;hsa-miR-584-5p;0,0062;0,0443;0,2753;-0,4;-0,4;"N/A
"
ZNF432;ENST00000594154.1;zinc finger protein 432 ;151;2;1;1;0;0;hsa-miR-584-5p;0,0172;0,1196;0,6398;-0,39;-0,41;"N/A
"
C9orf170;ENST00000375941.2;chromosome 9 open reading frame 170 ;5;1;1;0;0;2;hsa-miR-584-5p;0,0063;0,0455;0,2758;-0,39;-0,46;"N/A
"
ANKLE1;ENST00000394458.3;ankyrin repeat and LEM domain containing 1 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0059;0,0421;0,2451;-0,38;-0,38;"N/A
"
PI4K2B;ENST00000264864.6;phosphatidylinositol 4-kinase type 2 beta ;931;2;1;1;0;0;hsa-miR-584-5p;0,0062;0,0447;0,2926;-0,38;-0,4;"N/A
"
CHN1;ENST00000409900.3;chimerin 1 ;344;2;0;1;1;0;hsa-miR-584-5p;0,0028;0,0204;0,1331;-0,38;-0,38;"N/A
"
INO80C;ENST00000334598.7;INO80 complex subunit C ;582;1;0;1;0;0;hsa-miR-584-5p;0,0044;0,0318;0,1939;-0,38;-0,4;"N/A
"
DYNAP;ENST00000321600.1;dynactin associated protein ;5;1;1;0;0;0;hsa-miR-584-5p;0,0051;0,0363;0,2179;-0,38;-0,38;"N/A
"
LRP11;ENST00000239367.2;low density lipoprotein receptor-related protein 11 ;3235;2;1;0;1;0;hsa-miR-584-5p;0,0086;0,0621;0,399;-0,38;-0,38;"N/A
"
PAGE3;ENST00000374951.1;P antigen family, member 3 (prostate associated) ;5;1;0;1;0;0;hsa-miR-584-5p;0,0015;0,0113;0,078;-0,38;-0,38;"N/A
"
ARL13B;ENST00000535334.1;ADP-ribosylation factor-like 13B ;23;1;1;0;0;1;hsa-miR-584-5p;0,0099;0,0695;0,3706;-0,37;-0,41;"N/A
"
BCKDHB;ENST00000545529.1;branched chain keto acid dehydrogenase E1, beta polypeptide ;143;2;0;1;1;1;hsa-miR-584-5p;0,0065;0,0474;0,3164;-0,37;-0,39;"N/A
"
RBFOX1;ENST00000355637.4;RNA binding protein, fox-1 homolog (C. elegans) 1 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0065;0,0468;0,2834;-0,37;-0,37;"N/A
"
HDAC8;ENST00000439122.2;histone deacetylase 8 ;24;1;1;0;0;1;hsa-miR-584-5p;0,0038;0,0273;0,1828;-0,37;-0,37;"N/A
"
NSRP1;ENST00000247026.5;nuclear speckle splicing regulatory protein 1 ;574;1;1;0;0;0;hsa-miR-584-5p;0,0047;0,0338;0,2143;-0,37;-0,37;"N/A
"
RAP2A;ENST00000245304.4;RAP2A, member of RAS oncogene family ;721;1;1;0;0;0;hsa-miR-584-5p;0,005;0,0361;0,2205;-0,37;-0,37;"N/A
"
CTD-2140B24.4;ENST00000540096.2;Zinc finger protein 268  ;156;5;0;5;0;0;hsa-miR-584-5p;0,0067;0,0492;0,3333;-0,37;-0,61;"N/A
"
CACYBP;ENST00000367681.2;calcyclin binding protein ;374;2;1;0;1;0;hsa-miR-584-5p;0,0036;0,0255;0,1559;-0,37;-0,61;"N/A
"
PI15;ENST00000260113.2;peptidase inhibitor 15 ;12;2;1;0;1;0;hsa-miR-584-5p;0,0086;0,0625;0,4145;-0,37;-0,37;"N/A
"
SIGLEC10;ENST00000441969.3;sialic acid binding Ig-like lectin 10 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0051;0,0365;0,2188;-0,37;-0,37;"N/A
"
TRIM52;ENST00000327767.4;tripartite motif containing 52 ;43;1;1;0;0;0;hsa-miR-584-5p;0,0058;0,0415;0,253;-0,37;-0,37;"N/A
"
ZNF750;ENST00000269394.3;zinc finger protein 750 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0025;0,0185;0,1222;-0,37;-0,37;"N/A
"
RPL41;ENST00000546591.1;ribosomal protein L41 ;245;1;0;1;0;0;hsa-miR-584-5p;0,0023;0,0168;0,1124;-0,37;-0,37;"N/A
"
THBS4;ENST00000350881.2;thrombospondin 4 ;642;1;0;1;0;0;hsa-miR-584-5p;0,0038;0,0277;0,1777;-0,36;-0,37;"N/A
"
SRPX;ENST00000538295.1;sushi-repeat containing protein, X-linked ;1704;1;0;1;0;1;hsa-miR-584-5p;0,0075;0,0539;0,332;-0,36;-0,36;"N/A
"
ZMYM6NB;ENST00000373337.3;ZMYM6 neighbor ;984;1;0;1;0;0;hsa-miR-584-5p;0,0019;0,0138;0,094;-0,36;-0,36;"N/A
"
KRTAP19-7;ENST00000334849.2;keratin associated protein 19-7 ;5;1;0;1;0;0;hsa-miR-584-5p;0,0048;0,0346;0,2233;-0,36;-0,36;"N/A
"
CALB1;ENST00000265431.3;calbindin 1, 28kDa ;5;2;0;2;0;0;hsa-miR-584-5p;0,004;0,0294;0,198;-0,36;-0,36;"N/A
"
SLAMF7;ENST00000359331.4;SLAM family member 7 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0049;0,0353;0,2185;-0,36;-0,36;"N/A
"
CD3G;ENST00000532917.1;CD3g molecule, gamma (CD3-TCR complex) ;9;2;0;1;1;0;hsa-miR-584-5p;0,01;0,0716;0,4488;-0,36;-0,36;"N/A
"
ZNF83;ENST00000594682.2;zinc finger protein 83 ;78;2;0;2;0;1;hsa-miR-584-5p;0,0039;0,0285;0,1979;-0,36;-0,45;"N/A
"
GNPDA2;ENST00000509756.1;glucosamine-6-phosphate deaminase 2 ;117;2;1;1;0;1;hsa-miR-584-5p;0,0112;0,0802;0,4846;-0,36;-0,42;"N/A
"
PPIL1;ENST00000373699.5;peptidylprolyl isomerase (cyclophilin)-like 1 ;662;2;1;1;0;1;hsa-miR-584-5p;0,0043;0,0306;0,1894;-0,36;-0,77;"N/A
"
C10orf126;ENST00000375520.1;chromosome 10 open reading frame 126 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0045;0,0324;0,2023;-0,36;-0,36;"N/A
"
DPPA4;ENST00000335658.6;developmental pluripotency associated 4 ;5;2;0;1;1;0;hsa-miR-584-5p;0,0068;0,0494;0,3238;-0,36;-0,36;"N/A
"
RPL3L;ENST00000268661.7;ribosomal protein L3-like ;5;1;1;0;0;0;hsa-miR-584-5p;0,0105;0,0729;0,3715;-0,36;-0,36;"N/A
"
C18orf63;ENST00000579455.1;chromosome 18 open reading frame 63 ;5;2;1;1;0;0;hsa-miR-584-5p;0,0066;0,0478;0,3219;-0,36;-0,36;"N/A
"
TRIQK;ENST00000521988.1;triple QxxK/R motif containing ;210;2;1;0;1;0;hsa-miR-584-5p;0,0051;0,037;0,2383;-0,36;-0,48;"N/A
"
NUDCD2;ENST00000302764.4;NudC domain containing 2 ;308;1;0;1;0;1;hsa-miR-584-5p;0,005;0,0365;0,2354;-0,36;-0,42;"N/A
"
C12orf5;ENST00000179259.4;chromosome 12 open reading frame 5 ;520;2;0;2;0;1;hsa-miR-584-5p;0,0024;0,0179;0,1261;-0,36;-0,39;"N/A
"
PPM1A;ENST00000395076.4;protein phosphatase, Mg2+/Mn2+ dependent, 1A ;412;3;2;1;0;0;hsa-miR-584-5p;0,0063;0,0451;0,2755;-0,35;-0,45;"N/A
"
COL1A2;ENST00000297268.6;collagen, type I, alpha 2 ;877;1;1;0;0;0;hsa-miR-584-5p;0,0037;0,0266;0,1667;-0,35;-0,38;"N/A
"
ZNF583;ENST00000333201.9;zinc finger protein 583 ;24;2;1;1;0;0;hsa-miR-584-5p;0,0093;0,0659;0,3859;-0,35;-0,43;"N/A
"
ZNF512;ENST00000355467.4;zinc finger protein 512 ;189;1;1;0;0;0;hsa-miR-584-5p;0,0066;0,0469;0,2816;-0,35;-0,35;"N/A
"
EEF2;ENST00000309311.6;eukaryotic translation elongation factor 2 ;25580;1;1;0;0;0;hsa-miR-584-5p;0,0036;0,0261;0,1651;-0,35;-0,35;"N/A
"
C5orf24;ENST00000394976.3;chromosome 5 open reading frame 24 ;2668;2;0;2;0;1;hsa-miR-584-5p;0,0058;0,0424;0,286;-0,35;-0,36;"N/A
"
MAP2;ENST00000360351.4;microtubule-associated protein 2 ;68;1;1;0;0;1;hsa-miR-584-5p;0,0061;0,0438;0,2771;-0,35;-0,35;"N/A
"
SRP72;ENST00000342756.5;signal recognition particle 72kDa ;185;1;1;0;0;0;hsa-miR-584-5p;0,004;0,0291;0,1821;-0,35;-0,35;"N/A
"
TTC13;ENST00000366661.4;tetratricopeptide repeat domain 13 ;3928;1;1;0;0;0;hsa-miR-584-5p;0,0045;0,0325;0,2055;-0,35;-0,35;"N/A
"
WWP1;ENST00000517970.1;WW domain containing E3 ubiquitin protein ligase 1 ;161;2;1;1;0;0;hsa-miR-584-5p;0,0056;0,0408;0,2692;-0,34;-0,38;"N/A
"
SGTB;ENST00000381007.4;small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta ;205;2;0;2;0;1;hsa-miR-584-5p;0,0084;0,0605;0,3833;-0,34;-0,42;"N/A
"
MPC2;ENST00000367846.4;mitochondrial pyruvate carrier 2 ;1594;1;0;1;0;1;hsa-miR-584-5p;0,0037;0,0271;0,1724;-0,34;-0,4;"N/A
"
PTTG1IP;ENST00000397887.3;pituitary tumor-transforming 1 interacting protein ;1170;1;1;0;0;0;hsa-miR-584-5p;0,0035;0,0257;0,1684;-0,34;-0,41;"N/A
"
PDZD11;ENST00000239666.4;PDZ domain containing 11 ;144;1;0;1;0;0;hsa-miR-584-5p;0,0055;0,0393;0,2335;-0,34;-0,34;"N/A
"
WWTR1;ENST00000465804.1;WW domain containing transcription regulator 1 ;828;2;1;0;1;1;hsa-miR-584-5p;0,0043;0,031;0,2003;-0,34;-0,46;"N/A
"
CALCR;ENST00000359558.2;calcitonin receptor ;5;1;1;0;0;0;hsa-miR-584-5p;0,0053;0,0378;0,2252;-0,34;-0,34;"N/A
"
IMPA1;ENST00000311489.4;inositol(myo)-1(or 4)-monophosphatase 1 ;309;1;0;1;0;2;hsa-miR-584-5p;0,0052;0,0378;0,2474;-0,34;-0,37;"N/A
"
CCDC50;ENST00000392455.3;coiled-coil domain containing 50 ;961;2;1;0;1;0;hsa-miR-584-5p;0,0055;0,0398;0,2578;-0,34;-0,36;"N/A
"
CDH8;ENST00000584337.1;cadherin 8, type 2 ;11;1;1;0;0;0;hsa-miR-584-5p;0,0053;0,0379;0,2272;-0,34;-0,34;"N/A
"
TMEM17;ENST00000335390.5;transmembrane protein 17 ;10;1;0;1;0;0;hsa-miR-584-5p;0,0036;0,0261;0,1655;-0,34;-0,34;"N/A
"
LRRIQ3;ENST00000395089.1;leucine-rich repeats and IQ motif containing 3 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0027;0,0197;0,1364;-0,34;-0,34;"N/A
"
H2AFZ;ENST00000296417.5;H2A histone family, member Z ;927;1;0;1;0;0;hsa-miR-584-5p;0,0039;0,0279;0,1747;-0,33;-0,33;"N/A
"
ANKRD34B;ENST00000338682.3;ankyrin repeat domain 34B ;5;1;1;0;0;1;hsa-miR-584-5p;0,0067;0,0487;0,3184;-0,33;-0,33;"N/A
"
ZNF791;ENST00000446165.1;zinc finger protein 791 ;242;1;0;1;0;3;hsa-miR-584-5p;0,0049;0,0357;0,247;-0,33;-0,34;"N/A
"
C14orf178;ENST00000556047.1;chromosome 14 open reading frame 178 ;5;1;0;1;0;0;hsa-miR-584-5p;0,0028;0,0203;0,1328;-0,33;-0,33;"N/A
"
HINFP;ENST00000350777.2;histone H4 transcription factor ;410;1;1;0;0;0;hsa-miR-584-5p;0,0027;0,0196;0,1297;-0,33;-0,33;"N/A
"
SSH2;ENST00000582084.1;slingshot protein phosphatase 2 ;190;1;0;1;0;1;hsa-miR-584-5p;0,0021;0,0151;0,1023;-0,33;-0,33;"N/A
"
MAGEB2;ENST00000378988.4;melanoma antigen family B, 2 ;255;1;0;1;0;0;hsa-miR-584-5p;0,0032;0,0235;0,151;-0,33;-0,33;"N/A
"
SAR1B;ENST00000402673.2;SAR1 homolog B (S. cerevisiae) ;1404;1;0;1;0;0;hsa-miR-584-5p;0,0041;0,0301;0,1962;-0,33;-0,35;"N/A
"
METTL21A;ENST00000448823.2;methyltransferase like 21A ;224;1;0;1;0;0;hsa-miR-584-5p;0,0028;0,0201;0,1328;-0,33;-0,33;"N/A
"
NRG4;ENST00000394907.3;neuregulin 4 ;73;1;1;0;0;1;hsa-miR-584-5p;0,0033;0,0238;0,1524;-0,33;-0,45;"N/A
"
PELI2;ENST00000267460.4;pellino E3 ubiquitin protein ligase family member 2 ;229;1;1;0;0;0;hsa-miR-584-5p;0,0087;0,062;0,3596;-0,33;-0,33;"N/A
"
