lineNo;assgNo;prevFixDur;firstfixDur;firstPassFixDur;nextFixDur;firstSaccLen;lastSaccLen;prevFixPos;landingPos;leavingPos;totalFixDur;meanFixDur;regressLen;regressDur;pupilDiamMax;pupilDiamLag;timePrtctg;titleNo;wordNo;target
5681;168;119;318;318;219;346.5274;140.322;396.3647;54.6008;58.9788;318;318;0;0;0.0835;0.243;0.0305;6;1;0
10004;306;0;199;199;139;632.7152;373.5482;673.2674;143.4721;122.4827;278;139;0;2224;0.1965;0.143;0.0186;1;1;0
3130;95;558;239;239;179;66.7308;53.3877;159.5306;98.0319;96.0534;20;20;0;20;1.7801;2.3481;0.0036;6;1;0
9358;290;99;80;80;99;296.9621;120.9153;438.8086;159.4153;150.6063;80;80;0;0;0.0882;0.2407;0.0116;6;1;0
5293;159;119;159;159;278;316.2673;73.3757;295.7364;45.1054;38.7105;159;159;854;99;0.0798;0.1393;0.0116;7;6;0
2799;85;100;319;319;219;70;177.5;105.2093;32.596;24.5204;179;179;0;0;0.5542;1.2187;0.0162;8;1;0
3905;125;139;199;199;179;120.8356;209.1531;48.2701;83.2902;76.787;159;159;338;358;0.1563;0.1753;0.0249;5;6;0
9451;293;298;179;179;99;124.6445;510.6332;162.0031;33.2453;35.171;179;179;0;1074;0.1456;0.1271;0.0124;2;4;0
9501;293;80;298;298;119;96.9239;86.9253;139.5421;39.9531;41.0122;99;99;8147;495;0.0471;0.1086;0.0069;3;3;0
9406;291;159;99;99;139;90.4268;68.8368;191.6507;116.5268;122.173;99;99;0;139;0.2232;0.2812;0.0155;8;1;0
10274;312;278;179;179;159;291.689;904.1507;147.8716;143.3571;157.4817;179;179;397;0;0.3023;0.1168;0.0259;10;5;0
2268;73;20;379;379;180;59.1354;94.4312;104.2017;54.8179;76.1528;379;379;897;1056;1.1122;1.5602;0.0234;2;1;0
2280;73;777;279;279;638;65.5534;146.1617;39.8121;60.4669;60.2516;279;279;2212;0;0.6492;1.4382;0.0172;4;2;0
9805;302;100;139;139;159;120.3755;160.1811;75.0067;48.0521;32.249;139;139;0;0;0.122;0.258;0.0281;4;3;0
6230;183;159;139;139;219;349.7417;95;433.2955;87.0014;81.7634;159;159;0;159;0.1256;0.3466;0.0153;7;1;0
2254;72;299;20;20;139;58.4337;61.0082;40.4475;63.1229;62.1772;20;20;0;0;-0.1566;0.4364;0.003;3;8;0
6549;194;99;139;139;298;430.0012;224.5802;374.0856;60.7063;74.3942;139;139;0;278;0.2781;0.2165;0.0141;10;5;0
3261;99;80;119;119;139;165.5272;84.537;85.8429;76.3217;83.0136;119;119;0;0;0.213;0.2765;0.017;8;2;0
1685;52;139;159;159;179;198.142;848.0908;104.8094;91.9959;83.182;159;159;6001;0;0.0351;0.0766;0.014;10;2;0
7653;236;80;139;139;119;256.9679;284.3554;191.5124;71.8366;76.5914;139;139;0;0;0.2326;0.2216;0.0139;4;3;0
10388;317;99;80;80;179;337.9778;213.8019;422.3565;82.1736;90.2718;80;80;0;0;0.0892;0.1487;0.0132;5;2;0
2860;87;20;179;179;140;1123.4996;167.0397;149.4824;988.7498;48.7571;399;399;0;399;1.5777;1.7037;0.0512;1;2;0
2539;78;139;299;518;279;112.5722;153.5008;449.3607;304.2606;301.7317;179;179;1434;11140;0.421;0.948;0.0045;6;1;0
490;15;258;99;99;298;104.1561;142.0079;78.1025;27.0601;15.7877;99;99;0;0;0.1383;0.1383;0.0105;3;2;0
2983;91;199;239;239;299;1214.4073;156.1802;148.0304;33.9485;42.6058;239;239;0;319;-0.1024;0.0116;0.0213;5;3;0
9322;289;139;99;99;99;191.1675;190.9097;144.8862;50.3314;69.464;199;199;6363;4116;0.1172;0.1167;0.0096;4;3;0
10598;324;80;80;80;139;249.2007;688.3931;274.3319;50.2245;30.104;179;179;0;179;0.4497;0.4452;0.0312;9;6;0
1771;55;139;199;199;258;97.751;318.2267;53.9351;47.363;41.8629;199;199;0;0;0.1079;0.4533;0.0335;2;4;0
216;6;159;258;258;139;119.5094;302.0348;183.1338;60.208;41.0183;258;258;0;258;0.059;0.126;0.0347;5;4;0
6639;197;119;80;80;80;224.2733;330.276;249.1907;25.4018;42.2966;80;80;0;80;0.1686;0.1795;0.015;3;1;0
3747;119;80;219;219;139;173.1134;105.7946;244.5976;85.5716;100.6541;219;219;0;0;0.3173;0.3143;0.0608;2;1;0
260;8;0;139;139;238;0;145.0078;0;85.4196;86.419;139;139;0;0;-0.0881;0.0959;0.0279;1;1;0
7578;231;219;298;298;99;799.2723;37.1652;851.1498;65.123;43.8321;219;219;0;0;0.3207;0.3127;0.0367;8;1;0
7084;215;99;199;199;139;159.7568;99.5691;235.0191;83.9345;92.3052;278;278;0;835;0.1708;0.4063;0.0501;5;1;0
2522;78;339;199;378;179;88.0525;70.0071;111.7229;32.7185;216.037;378;189;1255;0;1.0005;0.9915;0.0095;10;1;0
8204;256;139;159;159;239;144.5078;91.0014;116.4302;37.7922;47.0664;159;159;0;0;0.3554;0.3329;0.0136;1;4;0
6566;194;139;80;160;119;135.5083;159.8132;97.1854;40.5123;50.6014;99;99;0;99;0.162;0.419;0.01;8;6;0
377;11;179;99;278;219;722.2557;222.2082;782.3094;57.0022;21.9659;259;129.5;0;1074;0.0539;0.0859;0.0239;2;2;0
8643;274;179;199;199;139;138.4783;719.9424;148.1216;15.6285;27.6812;199;199;0;199;-0.0272;0.9383;0.0432;10;3;0
9833;303;119;139;139;99;112.6421;213.1695;147.8716;98.8585;77.1314;139;139;0;0;0.1525;0.2395;0.0272;6;1;0
775;23;537;219;219;99;105.5047;174.5287;117.3797;56.8001;69.9321;219;219;0;0;0.1351;0.1396;0.0338;6;1;0
1448;44;219;139;139;99;151.8634;99.8424;80.3617;76.7366;66.3363;80;80;656;676;0.2671;0.3776;0.0054;8;7;0
535;17;139;99;99;179;322.1401;137.0912;232.2154;85.1587;68.1561;99;99;0;0;0.1618;0.1968;0.0214;2;6;0
2746;83;259;199;199;159;137.5009;193.5568;72.3395;53.584;48.2545;159;159;0;159;1.3035;1.011;0.0159;10;2;0
8069;251;219;159;338;258;91.0179;89.7622;119.5031;28.4297;50.5099;338;169;0;0;0.2458;0.0073;0.07;5;1;0
451;14;219;298;298;159;98.7142;373.9803;139.4346;42.0595;48.0885;298;298;2007;298;0.0143;0.0823;0.0351;1;6;0
9467;293;99;80;80;99;120.9566;351.8114;255.002;124.501;120.6172;198;99;0;198;0.2636;0.3266;0.0138;8;3;0
1777;56;80;139;139;159;107.7926;119.5073;181.5957;72.3343;75.4752;139;139;0;0;0.0073;0.0949;0.0209;3;1;0
3168;97;0;159;159;179;0;78.8495;0;24.9098;28.0401;159;159;0;1074;0.7921;1.1726;0.0307;2;1;0
1361;42;238;99;99;99;222.1041;123.5364;165.7739;48.3141;50.0849;99;99;0;0;0.1812;0.8872;0.0106;9;2;0
3145;96;219;339;339;199;256.6384;89.0505;246.5461;38.3438;87.6028;339;339;0;0;0.1386;-0.3184;0.0436;3;2;0
2736;83;1036;359;359;359;50.4232;98.0816;147.5568;51.7325;34.0331;359;359;0;418;0.4335;0.972;0.0359;7;1;0
5956;177;199;298;298;199;209.1997;123.3876;282.6889;74.0304;66.1287;298;298;0;0;0.1711;0.2546;0.0466;5;1;0
1486;44;139;278;278;179;425.2473;205.0274;462.0444;57.6888;37.1652;159;159;0;318;0.1331;0.2486;0.0107;8;1;0
10006;306;199;139;139;99;196.5229;527.5341;338.7152;141.1427;144.0139;159;159;0;1431;0.143;0.1875;0.0106;1;2;0
10381;317;238;80;80;99;60.8543;312.8011;169.071;100.2622;70.0803;80;80;1052;0;-0.0088;0.1352;0.0132;1;1;0
1436;44;139;199;199;199;118.0042;430.0814;153.0621;37.4233;36.5274;139;139;0;477;0.1386;0.2076;0.0093;1;4;0
9900;304;219;139;139;99;394.5257;343.3402;208.1178;185.529;186.6715;159;159;0;954;0.0915;0.1205;0.0129;3;4;0
6598;195;99;139;139;139;128.8187;904.0781;66.3702;53.8516;64.5155;139;139;0;0;0.014;0.3931;0.0315;10;9;0
8383;263;119;119;536;179;259.3318;112.54;384.4268;143.3911;187.6499;477;159;0;0;0.2802;0.2802;0.1067;1;1;0
8542;270;179;99;99;139;73.0924;95.2575;31.4006;35.8469;29.904;99;99;0;259;0.1507;0.2232;0.0278;5;2;0
1404;43;258;139;139;99;71.0862;89.7622;71.5542;14.1156;26.5;139;139;0;0;0.1787;0.2322;0.0115;10;4;0
3682;115;119;139;337;80;397.0532;319.1414;477.6829;83.8824;123.0742;337;112.3333;0;0;0.2135;0.2485;0.0686;7;1;0
5200;157;100;199;199;139;100.5;79.6994;85.235;44.3001;35.0892;199;199;378;0;0.1168;0.1458;0.0205;6;3;0
9224;289;99;80;80;159;277.2819;504.9802;205.061;78.4873;83.7511;80;80;80;198;0.1952;0.2037;0.0039;1;5;0
3734;118;99;219;219;99;225.1089;173.5115;137.0328;90.4461;78.4347;219;219;0;0;0.3623;0.3768;0.0681;2;2;0
2587;78;199;279;279;199;320.3986;211.1711;171.0497;157.2872;139.0081;319;319;11655;4861;0.4825;0.6525;0.008;6;2;0
1769;55;159;139;139;139;39.8811;86.1423;77.4145;42.5265;53.4813;139;139;0;139;0.1023;0.4533;0.0234;2;2;0
2972;91;179;120;120;20;94.5331;503.1073;34;102.7485;96.6294;120;120;0;0;1.1076;0.0316;0.0107;2;6;0
6789;203;99;119;119;219;217.0052;143.0428;155.9295;63.6946;70.859;119;119;417;337;0.2184;0.2729;0.0122;9;6;0
10837;334;199;139;139;239;107.5186;487.3287;110.1136;6.3246;12.3794;139;139;0;0;0.25;0.253;0.023;1;5;0
4067;130;239;139;278;199;278.2175;131.4201;220.8189;57.8662;62.2435;139;139;0;0;0.1636;0.4321;0.0128;6;3;0
411;12;119;119;119;238;149.1208;149.0252;143.0559;6.0828;7.433;119;119;0;0;0.2658;0.3083;0.0215;8;7;0
9391;291;179;159;159;99;385.5208;229.8097;287.0436;95.0842;104.6542;159;159;0;0;0.1537;0.2497;0.0248;4;7;0
3950;127;80;219;219;238;91.4289;122.602;34.8281;82.609;76.5131;219;219;0;219;0.1886;0.2141;0.029;4;3;0
6067;179;139;179;179;159;110.5271;181.6549;73.6817;50.0849;46.7386;179;179;0;0;0.2841;0.3516;0.0192;7;5;0
10369;316;99;99;99;139;181.0532;384.5208;178.6197;37.0742;29.8329;139;139;377;139;0.3988;0.1898;0.0258;8;3;0
3382;103;139;179;179;179;252.2623;645.9106;158.0791;89.405;85.0368;179;179;0;0;-0.014;0.1595;0.0249;6;7;0
8316;259;199;80;80;139;181.5991;192.6266;113.0708;65;63.3344;80;80;0;0;0.1054;0.1984;0.015;8;2;0
165;5;278;397;397;99;701.9238;204.1378;802.202;97.7663;97.8174;219;219;0;298;0.1855;0.1215;0.0196;9;1;0
2829;86;179;20;20;239;100.3606;54.5206;84.119;21.6391;55.491;219;219;458;697;0.8257;-0.1013;0.0249;4;4;0
9167;287;119;139;139;139;215.0145;367.0766;157.0509;57.0548;78.5;139;139;0;0;0.1752;0.2002;0.0142;10;4;0
3788;121;219;159;159;119;177.5028;264.0928;112.272;69.3542;62.3258;159;159;0;0;0.2923;0.2908;0.0479;2;3;0
4260;134;179;179;278;219;124.0363;753.9513;27.2029;109.8954;215.0285;278;139;0;0;0.254;0.409;0.0144;9;6;0
7822;240;80;99;99;219;243.4184;311.5903;172.4181;85.8836;100.1312;119;119;0;337;0.0781;-0.1019;0.0114;4;3;0
9125;286;80;139;139;119;47.8539;1116.3301;130.4301;88.1036;67.0168;139;139;0;0;0.2052;0.1462;0.0154;10;1;0
10882;336;139;139;139;179;142.5175;229.5049;79.404;61.7191;46.2952;139;139;0;1314;0.0835;0.1315;0.0119;1;2;0
6304;185;139;139;139;119;577.1449;88.7426;655.5151;76.6551;78.578;80;80;219;0;0.1625;0.1335;0.0118;3;1;0
9487;293;298;139;139;99;494.3099;137.1313;540.0037;51.9351;47.1301;99;99;4690;297;0.1446;0.1306;0.0069;7;3;0
1805;57;99;99;99;99;670.9257;62.476;692.7518;39.6989;39.6548;99;99;1272;0;0.1129;0.2743;0.011;8;4;0
3740;118;119;199;199;119;67.9283;170.0007;129.2478;59.6657;72.8011;199;199;0;199;0.0313;0.4338;0.0618;6;1;0
766;23;179;219;219;139;324.2873;132.417;398.5273;75.71;74.5604;219;219;0;0;0.1296;0.1296;0.0338;2;1;0
583;18;199;99;99;119;254.9338;245.2249;183.1338;75.898;43.2897;139;139;0;0;0.1978;0.7263;0.0229;6;3;0
4559;142;159;239;239;139;120.2341;541.4596;27.8568;93.0013;100.505;239;239;0;0;0.1347;0.0997;0.0172;2;5;0
9207;288;119;159;159;179;146.1677;490.7178;268.1511;115.0174;118.2381;159;159;0;159;0.1107;0.2302;0.0228;5;4;0
2180;70;219;119;119;219;94.0479;584.2418;89.0505;44.2069;45.6098;119;119;0;0;0.0184;-0.0316;0.0097;5;5;0
5950;177;99;179;179;358;95.4005;166.7041;143.0105;51.0906;47.9401;179;179;0;0;0.1816;0.1711;0.028;3;1;0
793;24;139;278;278;99;236.9346;164.931;267.5556;38.7072;33.8711;278;278;0;0;0.1566;0.0681;0.0307;4;1;0
1231;38;199;159;159;298;101.2978;194.2897;130.1768;39.6138;47.8592;258;129;0;0;0.0258;0.0418;0.0396;6;1;0
2105;66;139;239;239;99;217.7918;184.954;171.8139;126.5948;130.4186;199;199;299;279;0.1224;0.1649;0.0199;1;1;0
4308;135;219;139;219;99;133.3604;742.0197;120.0042;20.1556;68.244;219;109.5;0;0;0.231;0.188;0.0135;10;8;0
6599;195;80;80;80;119;904.0781;174.4484;928.4724;35.3058;48.7083;139;139;1389;0;0.125;0.3931;0.0315;5;1;0
6043;179;199;179;179;179;111.809;123.0447;52.345;66.9104;77.6466;179;179;0;0;0.1731;0.2416;0.0192;2;2;0
3593;111;278;219;219;239;87.4786;130.0779;110.6029;80.878;95.1381;219;219;0;0;0.247;0.8115;0.0353;4;1;0
6565;194;99;139;139;80;322.8258;135.5083;256.0176;75.2861;81.0015;318;159;0;318;0.162;0.419;0.0322;8;5;0
8437;266;0;100;100;199;132.0947;154.7361;16.9706;118.7824;117.5936;159;159;358;159;0.0182;0.0437;0.0291;1;2;0
3833;123;99;119;119;119;108.0104;27.7218;160.8509;72.4707;56.4358;119;119;1351;139;0.4038;0.2388;0.0264;3;1;0
4556;142;219;99;99;179;147.2175;226.7918;45.0111;103.2727;108.5104;99;99;0;0;0.0602;0.1347;0.0071;2;2;0
5281;159;159;159;318;199;699.2582;240.0047;793.7487;100.1212;43.9915;318;159;0;0;-0.0077;0.1433;0.0232;5;1;0
548;17;417;99;99;119;131.0467;424.5027;116.297;32.5346;27.0601;99;99;0;0;0.2083;0.0128;0.0214;8;2;0
5095;155;0;139;139;358;0;275.3271;0;63.287;52.3378;139;139;0;0;0.0668;0.1978;0.0125;3;3;0
3159;96;259;219;219;140;61.1249;111.5437;101.1237;38.6005;68.8077;219;219;0;219;1.6561;2.7591;0.0282;9;2;0
302;9;139;159;159;119;118.4789;294.9903;63.3246;56.0357;46.9521;159;159;0;159;0.2914;0.1644;0.0204;10;2;0
7967;248;179;219;219;99;292.0616;599.092;280.1946;33.5596;25.2389;219;219;0;0;0.1853;0.2298;0.0299;1;6;0
6425;190;80;80;80;119;449.2029;256.5448;400.3199;55.7584;71.2215;80;80;0;0;0.0854;0.1989;0.0163;2;4;0
5590;166;80;139;139;99;119.6046;238.6891;95.0211;25.4608;25.4558;139;139;2503;0;0.275;0.162;0.0104;10;9;0
5445;164;199;139;139;139;719.9905;79;785.9421;71.2215;59.6343;139;139;139;0;0.0057;0.1787;0.0118;2;2;0
1567;47;219;179;179;119;133.1362;108.2243;79.2465;53.0212;59.9708;179;179;0;0;0.0841;0.2206;0.0221;6;3;0
5370;162;239;199;358;378;290.0845;99.0808;229.0546;67.0019;14.7139;358;179;537;159;0.0812;0.1802;0.0448;3;3;0
6159;181;80;139;139;179;119.8593;199.2699;47.8539;76.5506;64.08;139;139;0;0;0.3716;0.7781;0.0163;9;3;0
7346;225;99;119;218;139;727.8958;145.0836;805.0894;86.1423;109.11;139;139;219;278;0.1113;0.1033;0.0139;4;1;0
3054;93;279;279;279;159;170.8106;231.9526;270.0685;73.0565;97.8289;279;279;1593;279;0.8061;0.7176;0.0211;3;2;0
2635;79;518;219;398;199;381.147;64.5949;463.1069;77.429;86.8864;199;199;398;199;0.3675;0.3085;0.0211;3;1;0
6131;181;238;159;159;99;211.6512;65.4083;219.9204;24.8294;16.7705;159;159;99;119;-0.0094;0.1366;0.0186;1;3;0
8703;276;139;139;139;139;527.8582;236.6268;548.6;37.8319;53.6027;139;139;0;139;0.0533;0.1448;0.0244;5;2;0
6553;194;80;80;80;80;110.4095;77.9503;62.3699;55.617;57.7862;119;119;2369;318;0.2165;0.295;0.012;10;3;0
7508;229;99;219;398;179;330.8266;69.4586;448.3079;122.2385;114.7007;398;199;0;0;-0.0093;0.1212;0.0572;3;1;0
1622;49;199;199;199;199;59.5525;133.7881;98.7623;37.6464;25.045;199;199;0;597;0.0936;0.6206;0.0544;2;1;0
1322;42;179;80;338;179;192.5104;127.8329;113.7453;86.8058;177.4218;338;112.6667;0;0;0.1102;0.1102;0.036;3;2;0
8239;256;99;179;179;139;124.291;150.3671;123.0447;8.0623;91.8178;218;109;0;1012;0.3104;0.3344;0.0187;10;5;0
1623;49;139;239;239;199;133.7881;164.4536;80.6226;50.5964;49.0408;199;199;597;637;0.1091;0.6206;0.0544;2;3;0
9410;291;80;99;99;99;285.0952;181.6989;352.966;63.2456;77.5403;99;99;0;0;0.2812;0.1082;0.0155;10;1;0
10278;313;0;99;99;179;0;100.7;0;21.3776;31.8198;99;99;0;0;0.2718;0.3438;0.056;3;2;0
4259;134;179;179;179;179;108.1665;124.0363;73.5459;39.2237;49.98;179;179;0;0;0.2525;0.409;0.0092;9;5;0
1382;43;119;199;279;99;125.2557;160.5195;26.3059;107.4209;62.3699;279;139.5;0;279;0.0412;0.0387;0.0231;2;3;0
4801;148;179;298;298;238;100.08;280.9026;54.4518;54.8293;56.4845;298;298;0;596;0.3006;0.3006;0.017;3;5;0
1682;52;119;258;258;119;129.3136;98.6116;89.56;46.9574;67.2625;258;258;0;0;0.1986;0.0766;0.0227;8;2;0
4184;133;199;179;179;179;147.0077;146.1232;65.521;84.4408;78.7464;179;179;0;0;0.1955;0.1955;0.0128;9;5;0
3935;127;99;159;159;238;151.5074;151.0761;49.0408;101.7767;63.5472;238;119;476;238;0.1136;0.2226;0.0315;3;2;0
3371;103;119;119;119;159;258.0237;94.3835;216.2267;58.5235;39.246;119;119;159;0;0.0845;0.248;0.0166;3;5;0
875;27;0;278;278;99;0;112.5711;0;22.2991;20.5061;278;278;0;0;-0.0096;0.1469;0.0647;3;1;0
7317;224;139;298;298;80;200.3902;441.5343;133.0038;69.5288;89.3826;298;298;1352;0;0.0713;0.4978;0.0444;9;5;0
6567;194;80;119;119;99;159.8132;77.0276;71.0282;85.0015;92.0014;99;99;259;99;0.1426;0.419;0.01;8;7;0
7513;229;219;119;119;80;288.8706;129.5154;311.2073;41.2311;49.5807;139;139;0;537;-0.0073;0.1432;0.02;1;4;0
6990;212;199;99;99;139;178.9839;58.2087;116.6919;74.6324;62.46;99;99;0;0;-0.1087;0.1558;0.0143;3;3;0
10173;310;139;99;99;99;90.118;365.7448;40.05;53.912;30.5164;99;99;0;0;0.1572;0.2032;0.0127;5;5;0
8021;249;139;179;318;139;152.0206;64.9346;106.0189;44.0454;18.2003;318;159;0;0;0.2288;0.1643;0.0571;6;2;0
6976;212;159;99;99;80;112.641;95.5314;144.9724;73.1095;71.9757;99;99;2845;0;0.2178;0.3783;0.0143;2;1;0
6520;193;139;99;99;99;157.2657;784.7716;88.0227;76.1183;101.9865;99;99;0;0;0.2949;0.2949;0.0419;10;6;0
9825;303;179;179;179;100;201.1523;138.6588;58.2151;137.3909;140.3932;179;179;0;0;0.128;0.1525;0.0351;2;2;0
8534;270;179;199;199;199;185.0547;352.066;126.6689;56.932;65.0942;199;199;0;0;0.0682;0.1507;0.0559;2;3;0
6814;204;80;119;119;80;97.6371;153.5489;46.1736;66.6202;72.7083;119;119;379;119;0.2779;0.3464;0.0246;1;3;0
120;4;80;99;99;278;139.0081;356.6287;233.0536;93.2269;90.5166;139;139;0;853;0.116;0.147;0.0175;7;4;0
5286;159;80;159;159;99;215.3073;64;193.189;55.0091;56.2428;159;159;0;0;0.0533;0.1433;0.0116;6;3;0
1184;37;219;239;239;139;321.5603;156.5008;288.295;125.7945;114.6833;239;239;437;0;-0.0422;-0.0422;0.0296;2;2;0
6607;196;159;139;139;80;245.7931;344.5033;232.9571;51.7904;38.0592;139;139;0;139;0.1661;0.356;0.1167;1;1;0
6343;187;80;99;99;298;162.5;282.9629;86.0233;71.8766;65.0173;99;99;0;0;0.066;0.2895;0.0145;7;4;0
7857;242;139;99;99;179;103.5809;74.7011;105.1903;20.4022;6.3246;99;99;0;0;0.1043;0.2213;0.0225;3;2;0
6628;197;80;80;80;99;197.31;99.8624;173.4618;24.6678;33.738;80;80;0;0;0.0345;0.2091;0.015;6;4;0
8881;280;159;278;278;139;226.7355;205.8501;212.8497;26.6833;33.2415;278;278;0;199;0.2297;0.1802;0.0353;10;4;0
9602;296;139;179;179;199;230.9248;143.6672;199.0226;39.1472;36.6231;179;179;0;0;0.0386;0.1206;0.0201;3;3;0
