x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;y
-4.851;-2.857;-2.857;-2.857;-14.286;9.244;-193;2;72;-9;1;2;11.716;26.078;22.745;18.873;17.794;21.176;21.029;1
11.716;8.524;8.524;8.524;-4.244;19.286;94;-193;2;72;1;3;12.857;9.873;6.406;5.441;8.469;8.337;14.963;0
12.857;14.821;14.821;22.476;2.063;24.286;97;94;-193;2;2;4;-2.644;-5.715;-6.571;-3.888;-4.005;1.866;-0.894;0
-2.644;11.786;11.786;19.238;-0.635;21.587;59;97;94;-193;2;3;-3.155;-4.034;-1.278;-1.398;4.633;1.797;3.554;1
-3.155;8.259;8.259;15.476;-3.77;18.452;57;59;97;94;1;3;-0.907;1.938;1.814;8.041;5.113;6.928;9.649;1
-0.907;7.277;7.277;14.429;-4.643;17.579;72;57;59;97;0;2;2.871;2.747;9.03;6.076;7.907;10.653;3.87;0
2.871;3.866;10.357;17.714;-1.905;20.317;83;72;57;59;1;3;-0.121;5.987;3.115;4.895;7.565;0.971;4.167;1
-0.121;3.739;10.223;17.571;-2.024;20.198;88;83;72;57;1;3;6.116;3.24;5.022;7.695;1.094;4.293;1.094;0
6.116;10.084;16.964;24.762;3.968;26.19;91;88;83;72;2;3;-2.71;-1.031;1.489;-4.733;-1.718;-4.733;-6.221;0
-2.71;7.101;13.795;21.381;-8.964;31.036;-137;91;88;83;1;2;1.726;4.315;-2.079;1.02;-2.079;-3.609;-5.924;0
1.726;2.897;15.759;23.476;-7.393;32.607;60;-137;91;88;2;3;2.545;-3.741;-0.694;-3.741;-5.245;-7.52;-11.3;0
2.545;5.516;11.723;26.619;-9.558;28.537;83;60;-137;91;2;4;-6.13;-3.159;-6.13;-7.597;-9.816;-13.501;-14.065;0
-6.13;-0.952;4.874;18.857;-15.102;22.993;-72;83;60;-137;2;4;3.165;0;-1.563;-3.926;-7.853;-8.454;-6.691;0
3.165;2.183;8.193;14.955;-3.195;17.857;69;-72;83;60;2;4;-3.068;-4.583;-6.874;-10.68;-11.262;-9.553;-9.981;0
-3.068;-0.952;4.874;11.429;-6.165;14.887;-33;69;-72;83;1;4;-1.563;-3.926;-7.853;-8.454;-6.691;-7.131;-3.446;0
-1.563;-2.5;3.235;9.687;-7.632;13.421;-128;-33;69;-72;1;3;-2.401;-6.39;-7;-5.21;-5.657;-1.913;-4.151;0
-2.401;-4.841;0.756;7.054;-9.85;11.203;-135;-128;-33;69;0;3;-4.087;-4.712;-2.877;-3.336;0.5;-1.793;-1.877;0
-4.087;-8.73;-3.361;2.679;-13.534;7.519;-267;-135;-128;-33;0;2;-0.652;1.261;0.783;4.783;2.391;2.304;2.435;1
-0.652;-9.325;-3.992;2.009;-14.098;6.955;-481;-267;-135;-128;0;1;1.926;1.444;5.47;3.063;2.976;3.107;2.845;0
1.926;-7.579;-2.143;3.973;-12.444;8.609;32;-481;-267;-135;1;2;-0.472;3.478;1.116;1.03;1.159;0.902;-0.258;0
-0.472;-2.605;-8.016;3.482;-17.214;2.786;-480;32;-481;-267;1;1;3.969;1.596;1.51;1.639;1.381;0.216;0.086;0
3.969;1.261;-4.365;7.589;-13.929;6.071;71;-480;32;-481;2;2;-2.282;-2.365;-2.241;-2.49;-3.61;-3.734;-5.56;0
-2.282;-1.05;-6.548;5.134;-15.893;4.107;-156;71;-480;32;1;2;-0.085;0.042;-0.212;-1.359;-1.486;-3.355;-8.832;0
-0.085;-1.134;-1.134;5.045;-11.541;9.511;-19;-156;71;-480;1;2;0.127;-0.127;-1.275;-1.402;-3.272;-8.755;-15.937;0
0.127;-1.008;-1.008;5.179;-11.429;9.624;55;-19;-156;71;1;3;-0.255;-1.401;-1.528;-3.396;-8.871;-16.044;-15.323;0
-0.255;-1.261;-1.261;4.911;-11.654;9.398;25;55;-19;-156;1;3;-1.149;-1.277;-3.149;-8.638;-15.83;-15.106;-11.106;0
-1.149;-2.395;-2.395;3.705;-12.669;8.383;-76;25;55;-19;1;2;-0.129;-2.023;-7.576;-14.851;-14.12;-10.073;-11.063;0
-0.129;-2.521;-2.521;3.571;-12.782;8.271;-2;-76;25;55;0;2;-1.897;-7.457;-14.741;-14.009;-9.957;-10.948;-9.741;0
-1.897;-4.37;-4.37;1.607;-14.436;6.617;-745;-2;-76;25;0;1;-5.668;-13.093;-12.346;-8.216;-9.227;-7.996;-8.919;0
-5.668;-9.79;-9.79;-4.152;-19.286;1.767;-514;-745;-2;-76;0;1;-7.871;-7.08;-2.701;-3.773;-2.469;-3.447;0.885;1
-7.871;-11.696;-16.891;-11.696;-25.639;-4.586;-554;-514;-745;-2;0;1;0.859;5.612;4.449;5.865;4.803;9.505;7.786;1
0.859;-10.938;-16.176;-10.938;-25;-3.947;-268;-554;-514;-745;1;1;4.712;3.559;4.962;3.91;8.571;6.867;0.451;0
4.712;-6.741;-6.741;-6.741;-17.103;5.119;37;-268;-554;-514;2;2;-1.101;0.239;-0.766;3.686;2.058;-4.069;-2.776;0
-1.101;-7.768;-7.768;-7.768;-18.016;4.206;-295;37;-268;-554;2;2;1.355;0.339;4.84;3.195;-3.001;-1.694;-0.92;0
1.355;-0.286;-6.518;-6.518;-16.905;5.317;-37;-295;37;-268;2;3;-1.003;3.438;1.815;-4.298;-3.009;-2.245;-5.062;0
-1.003;-1.286;-7.455;-7.455;-17.738;4.484;-215;-37;-295;37;1;3;4.486;2.846;-3.329;-2.026;-1.254;-4.1;-1.399;0
4.486;3.143;-3.304;-3.304;-14.048;8.175;50;-215;-37;-295;2;4;-1.57;-7.479;-6.233;-5.494;-8.218;-5.633;-6.14;0
-1.57;1.524;-4.821;-4.821;-15.397;6.825;27;50;-215;-37;1;4;-6.004;-4.737;-3.987;-6.754;-4.128;-4.644;-5.3;0
-6.004;-4.571;-10.536;-10.536;-20.476;1.746;-93;27;50;-215;1;3;1.347;2.146;-0.798;1.996;1.447;0.749;8.134;1
1.347;-3.286;-9.33;-9.33;-19.405;2.817;42;-93;27;50;1;3;0.788;-2.117;0.64;0.098;-0.591;6.696;10.734;1
0.788;-2.524;-8.616;-8.616;-18.77;3.452;52;42;-93;27;2;4;-2.882;-0.147;-0.684;-1.368;5.862;9.868;8.745;1
-2.882;-5.333;-5.333;-11.25;-16.471;7.059;-145;52;42;-93;2;3;2.817;2.264;1.559;9.004;13.129;11.972;20.674;1
2.817;-2.667;-2.667;-8.75;-14.118;9.412;71;-145;52;42;2;4;-0.538;-1.223;6.018;10.029;8.904;17.368;16.194;1
-0.538;-3.19;-3.19;-9.241;-14.58;8.95;-87;71;-145;52;1;3;-0.689;6.591;10.625;9.493;18.003;16.822;14.806;1
-0.689;-3.857;-3.857;-9.866;-15.168;8.361;-78;-87;71;-145;1;3;7.33;11.392;10.253;18.821;17.632;15.602;16.592;1
7.33;3.19;3.19;-3.259;-8.95;14.58;94;-78;-87;71;1;4;3.784;2.723;10.706;9.599;7.707;8.629;7.291;1
3.784;7.095;7.095;0.402;-5.504;18.025;90;94;-78;-87;2;4;-1.023;6.67;5.602;3.779;4.669;3.379;6.269;1
-1.023;6;6;-0.625;-6.471;17.059;49;90;94;-78;2;3;7.772;6.694;4.852;5.75;4.447;7.367;7.098;0
7.772;14.238;14.238;7.098;0.798;24.328;97;49;90;94;2;4;-1;-2.709;-1.876;-3.085;-0.375;-0.625;-3.335;0
-1;13.095;13.095;6.027;-0.21;23.319;71;97;49;90;1;3;-1.726;-0.884;-2.105;0.632;0.379;-2.358;-7.242;0
-1.726;4.196;11.143;4.196;-1.933;21.597;45;71;97;49;1;3;0.857;-0.386;2.399;2.142;-0.643;-5.613;-2.742;0
0.857;5.089;12.095;5.089;-1.092;22.437;87;45;71;97;1;4;-1.232;1.529;1.274;-1.487;-6.415;-3.568;-10.195;0
-1.232;3.795;10.714;3.795;-2.311;21.218;10;87;45;71;1;3;2.796;2.538;-0.258;-5.247;-2.366;-9.075;-3.054;0
2.796;6.696;6.696;6.696;-5.159;17.063;77;10;87;45;2;3;-0.251;-2.971;-7.824;-5.021;-11.548;-5.69;1.925;0
-0.251;0.168;6.429;6.429;-5.397;16.825;60;77;10;87;1;3;-2.727;-7.592;-4.782;-11.326;-5.453;2.181;4.237;1
-2.727;-2.563;3.527;3.527;-7.976;14.246;-200;60;77;10;1;2;-5.002;-2.113;-8.84;-2.803;5.045;7.158;3.32;1
-5.002;-7.437;-1.652;-1.652;-12.579;9.643;-340;-200;60;77;0;2;3.041;-4.04;2.315;10.576;12.801;8.761;13.936;1
3.041;-4.622;1.339;1.339;-9.921;12.302;68;-340;-200;60;1;3;-6.872;-0.705;7.313;9.471;5.551;10.573;-8.414;0
-6.872;-5.625;-5.625;-5.625;-16.111;6.111;-330;68;-340;-200;1;2;6.623;15.232;17.55;13.34;18.732;-1.656;-5.582;0
6.623;0.625;0.625;0.625;-10.556;11.667;80;-330;68;-340;2;3;8.075;10.248;6.3;11.358;-7.764;-11.446;-11.358;0
8.075;8.75;8.75;8.75;-3.333;18.889;87;80;-330;68;2;3;2.011;-1.642;3.038;-14.655;-18.062;-17.98;-19.787;0
2.011;4.412;10.937;10.937;-1.389;20.833;70;87;80;-330;3;4;-3.581;1.006;-16.338;-19.678;-19.598;-21.368;-23.179;0
-3.581;0.672;6.964;6.964;-4.921;17.302;7;70;87;80;2;4;4.758;-13.23;-16.694;-16.611;-18.447;-20.326;-22.913;0
4.758;5.462;5.462;12.054;-5.639;15.414;88;7;70;87;2;5;-17.171;-20.478;-20.398;-22.151;-23.944;-26.414;-25.936;0
-17.171;-7.187;-12.647;-7.187;-21.842;-0.789;-282;88;7;70;1;4;-3.992;-3.896;-6.013;-8.177;-11.159;-10.582;-8.802;0
-3.992;-10.893;-10.893;-10.893;-20.794;1.429;-165;-282;88;7;1;4;0.1;-2.104;-4.359;-7.465;-6.864;-5.01;-5.16;0
0.1;-10.804;-10.804;-10.804;-20.714;1.508;-158;-165;-282;88;1;4;-2.202;-4.454;-7.558;-6.957;-5.105;-5.255;-5.956;0
-2.202;-12.768;-12.768;-12.768;-22.46;-0.238;-493;-158;-165;-282;1;3;-2.303;-5.476;-4.862;-2.968;-3.122;-3.838;-2.456;0
-2.303;-14.777;-14.777;-14.777;-24.246;-2.024;-645;-493;-158;-165;1;2;-3.248;-2.619;-0.681;-0.838;-1.572;-0.157;3.824;1
-3.248;-12.048;-17.545;-17.545;-26.706;-4.484;-621;-645;-493;-158;0;2;0.65;2.653;2.491;1.733;3.194;7.309;5.577;1
0.65;-11.476;-17.009;-17.009;-33.607;6.393;-1393;-621;-645;-493;1;2;1.99;1.829;1.076;2.528;6.616;4.895;2.905;0
1.99;-9.714;-15.357;-15.357;-32.286;7.714;-25;-1393;-621;-645;2;3;-0.158;-0.897;0.527;4.536;2.848;0.897;1.53;0
-0.158;-3.418;-9.857;-15.491;-28.835;13.271;-204;-25;-1393;-621;2;3;-0.74;0.687;4.702;3.011;1.057;1.69;-0.158;0
-0.74;-4.133;-10.524;-10.524;-29.361;12.744;-257;-204;-25;-1393;1;2;1.437;5.482;3.779;1.809;2.448;0.585;1.384;0
1.437;-2.755;-9.238;-9.238;-28.346;13.759;38;-257;-204;-25;1;3;3.987;2.308;0.367;0.997;-0.839;-0.052;-0.21;0
3.987;1.122;-5.619;-5.619;-25.489;16.617;80;38;-257;-204;2;4;-1.615;-3.481;-2.876;-4.642;-3.885;-4.036;-3.683;0
-1.615;-0.51;-7.143;-7.143;-26.692;15.414;23;80;38;-257;2;4;-1.897;-1.282;-3.077;-2.308;-2.462;-2.103;-3.949;0
-1.897;-2.398;-8.905;-8.905;-28.083;14.023;28;23;80;38;1;3;0.627;-1.202;-0.418;-0.575;-0.209;-2.091;-3.607;0
0.627;-1.786;-8.333;-8.333;-27.632;14.474;67;28;23;80;1;3;-1.818;-1.039;-1.195;-0.831;-2.701;-4.208;-3.117;0
-1.818;-3.571;-10;-10;-28.947;13.158;-79;67;28;23;1;3;0.794;0.635;1.005;-0.899;-2.434;-1.323;-4.392;0
0.794;-2.806;-2.806;-9.286;-14.955;10.045;62;-79;67;28;2;4;-0.157;0.21;-1.68;-3.202;-2.1;-5.144;-4.882;0
-0.157;-2.959;-2.959;-9.429;-15.089;9.911;10;62;-79;67;1;3;0.368;-1.525;-3.049;-1.945;-4.995;-4.732;-5.783;0
0.368;-2.602;-2.602;-9.095;-14.777;10.223;-57;10;62;-79;2;3;-1.886;-3.405;-2.305;-5.343;-5.081;-6.129;-4.61;0
-1.886;-4.439;-4.439;-10.81;-4.439;-4.439;-340;-57;10;62;1;3;-1.548;-0.427;-3.524;-3.257;-4.325;-2.776;-4.912;0
-1.548;-5.918;-5.918;-12.19;-5.918;-5.918;-375;-340;-57;10;1;3;1.139;-2.007;-1.735;-2.82;-1.247;-3.416;0.705;0
1.139;-4.847;-4.847;-11.19;-4.847;-4.847;43;-375;-340;-57;1;3;-3.11;-2.842;-3.914;-2.359;-4.504;-0.429;1.448;1
-3.11;-0.714;-7.806;-13.952;-7.806;-7.806;-303;43;-375;-340;1;3;0.277;-0.83;0.775;-1.439;2.767;4.704;1.826;0
0.277;-0.44;-0.44;-13.714;-0.44;-0.44;-78;-303;43;-375;2;3;-1.104;0.497;-1.711;2.483;4.415;1.545;-1.6;0
-1.104;-1.538;-1.538;-14.667;-1.538;-1.538;-319;-78;-303;43;1;3;1.618;-0.614;3.627;5.58;2.679;-0.502;-0.502;0
1.618;0.055;0.055;-13.286;0.055;0.055;26;-319;-78;-303;2;3;-2.197;1.977;3.899;1.043;-2.087;-2.087;1.867;1
-2.197;-2.143;-2.143;-15.19;-2.143;-2.143;-259;26;-319;-78;1;3;4.267;6.232;3.313;0.112;0.112;4.155;2.471;0
4.267;2.033;2.033;-11.571;2.033;2.033;85;-259;26;-319;2;4;1.885;-0.915;-3.985;-3.985;-0.108;-1.723;-0.108;0
1.885;3.956;3.956;-9.905;3.956;3.956;65;85;-259;26;2;4;-2.748;-5.761;-5.761;-1.956;-3.541;-1.956;-6.342;0
-2.748;1.099;1.099;-12.381;1.099;1.099;-46;65;85;-259;2;4;-3.098;-3.098;0.815;-0.815;0.815;-3.696;-6.087;0
-3.098;-2.033;-2.033;-15.095;-2.033;-2.033;-116;-46;65;85;1;3;0;4.038;2.356;4.038;-0.617;-3.085;-2.58;0
0;-2.033;-2.033;-15.095;-2.033;-2.033;8;-116;-46;65;0;3;4.038;2.356;4.038;-0.617;-3.085;-2.58;-4.711;0
4.038;1.923;1.923;-11.667;1.923;1.923;78;8;-116;-46;1;3;-1.617;0;-4.474;-6.846;-6.361;-8.41;-12.237;0
-1.617;0.275;0.275;-13.095;0.275;0.275;-52;78;8;-116;1;3;1.644;-2.904;-5.315;-4.822;-6.904;-10.795;-6.74;0
1.644;1.923;1.923;-5.357;1.923;1.923;66;-52;78;8;2;3;-4.474;-6.846;-6.361;-8.41;-12.237;-8.248;-15.472;0
-4.474;-2.637;-2.637;-9.592;-2.637;-2.637;-242;66;-52;78;1;2;-2.483;-1.975;-4.12;-8.126;-3.95;-11.512;-11.23;0
-2.483;-5.055;-5.055;-11.837;-5.055;-5.055;-198;-242;66;-52;1;2;0.521;-1.678;-5.787;-1.505;-9.259;-8.97;-4.803;0
0.521;-4.56;-4.56;-11.378;-4.56;-4.56;6;-198;-242;66;1;3;-2.188;-6.275;-2.015;-9.729;-9.442;-5.296;-10.535;0
-2.188;-6.648;-6.648;-13.316;-6.648;-6.648;-220;6;-198;-242;1;3;-4.179;0.177;-7.71;-7.416;-3.178;-8.534;-10.83;0
-4.179;-10.549;-10.549;-16.939;-10.549;-10.549;-448;-220;6;-198;1;2;4.545;-3.686;-3.378;1.044;-4.545;-6.941;-4.73;0
4.545;-6.484;-6.484;-13.163;-6.484;-6.484;66;-448;-220;6;1;3;-7.873;-7.579;-3.349;-8.696;-10.987;-8.872;-8.872;0
-7.873;-6.667;-13.846;-20;-25.333;1.333;-364;66;-448;-220;1;2;0.319;4.911;-0.893;-3.38;-1.084;-1.084;-0.893;0
0.319;-6.369;-13.571;-19.745;-25.095;1.571;-98;-364;66;-448;2;3;4.577;-1.208;-3.687;-1.399;-1.399;-1.208;-4.323;0
4.577;-2.083;-9.615;-16.071;-21.667;5;51;-98;-364;66;2;4;-5.532;-7.903;-5.714;-5.714;-5.532;-8.511;-8.936;0
-5.532;-7.5;-7.5;-20.714;-20.714;7.857;-240;51;-98;-364;2;3;-2.51;-0.193;-0.193;0;-3.153;-3.604;2.188;1
-2.51;-9.821;-9.821;-16.758;-22.704;5.867;-215;-240;51;-98;1;3;2.376;2.376;2.574;-0.66;-1.122;4.818;6.535;1
2.376;-7.679;-7.679;-14.78;-20.867;7.704;23;-215;-240;51;1;4;0;0.193;-2.966;-3.417;2.386;4.062;4.449;1
0;0.714;-7.679;-14.78;-20.867;7.704;-185;23;-215;-240;1;3;0.193;-2.966;-3.417;2.386;4.062;4.449;3.159;0
0.193;0.909;-7.5;-14.615;-20.714;7.857;-28;-185;23;-215;2;4;-3.153;-3.604;2.188;3.861;4.247;2.96;8.237;1
-3.153;-2.273;-10.417;-17.308;-23.214;5.357;-168;-28;-185;23;1;3;-0.465;5.515;7.243;7.641;6.312;11.761;17.874;1
-0.465;-2.727;-10.833;-17.692;-23.571;5;-430;-168;-28;-185;1;2;6.008;7.744;8.144;6.809;12.283;18.425;20.227;1
6.008;3.117;-5.476;-12.747;-18.98;9.592;86;-430;-168;-28;1;3;1.637;2.015;0.756;5.919;11.713;13.413;13.287;1
1.637;4.805;-3.929;-11.319;-17.653;10.918;85;86;-430;-168;2;4;0.372;-0.867;4.213;9.913;11.586;11.462;11.586;1
0.372;5.195;-3.571;-10.989;-17.347;11.224;70;85;86;-430;3;4;-1.235;3.827;9.506;11.173;11.049;11.173;4.877;1
-1.235;3.896;-4.762;-12.088;-18.367;10.204;28;70;85;86;2;4;5.125;10.875;12.562;12.437;12.562;6.187;12.5;1
5.125;9.221;9.221;-7.582;-7.582;23.187;90;28;70;85;2;4;5.47;7.075;6.956;7.075;1.011;7.015;8.799;1
5.47;15.195;15.195;-2.527;-2.527;28.242;96;90;28;70;2;5;1.522;1.409;1.522;-4.228;1.466;3.157;7.215;1
1.522;7.202;7.202;-1.044;-8.112;20.459;97;96;90;28;3;6;-0.111;0;-5.664;-0.056;1.61;5.608;0.722;0
-0.111;7.083;7.083;-1.154;-8.214;20.357;90;97;96;90;2;5;0.111;-5.559;0.056;1.723;5.725;0.834;5.336;1
0.111;7.202;7.202;-1.044;-8.112;20.459;93;90;97;96;2;5;-5.664;-0.056;1.61;5.608;0.722;5.219;6.552;1
-5.664;1.131;1.131;1.131;-13.316;15.255;-81;93;90;97;1;4;5.945;7.71;11.948;6.769;11.536;12.949;9.888;1
5.945;7.143;7.143;7.143;-8.163;20.408;94;-81;93;90;2;5;1.667;5.667;0.778;5.278;6.611;3.722;-2.056;0
1.667;8.929;8.929;8.929;-6.633;21.939;79;94;-81;93;2;5;3.934;-0.874;3.552;4.863;2.022;-3.661;-3.825;0
3.934;4.505;13.214;13.214;-2.959;25.612;89;79;94;-81;3;5;-4.627;-0.368;0.894;-1.84;-7.308;-7.466;-7.676;0
-4.627;-0.33;7.976;7.976;-7.449;21.122;-138;89;79;94;2;4;4.465;5.788;2.922;-2.811;-2.977;-3.197;2.481;0
4.465;4.121;12.798;12.798;-3.316;25.255;72;-138;89;79;2;5;1.266;-1.478;-6.966;-7.124;-7.335;-1.9;-2.005;0
1.266;5.44;14.226;14.226;-2.092;26.48;49;72;-138;89;2;5;-2.71;-8.129;-8.286;-8.494;-3.127;-3.231;-0.625;0
-2.71;2.582;11.131;11.131;-4.745;23.827;6;49;72;-138;2;5;-5.57;-5.731;-5.945;-0.428;-0.536;2.142;4.821;1
-5.57;-3.132;4.94;4.94;-10.051;18.52;-131;6;49;72;1;4;-0.17;-0.397;5.445;5.332;8.168;11.004;11.117;1
-0.17;-3.297;-3.297;4.762;-16.19;10.476;-54;-131;6;49;0;3;-0.227;5.625;5.511;8.352;11.193;11.307;6.307;1
-0.227;-3.516;-3.516;4.524;-16.381;10.286;-176;-54;-131;6;0;2;5.866;5.752;8.599;11.446;11.56;6.549;6.549;0
5.866;2.143;2.143;10.655;-11.476;15.19;85;-176;-54;-131;1;3;-0.108;2.582;5.272;5.379;0.646;0.646;0.861;0
-0.108;2.033;2.033;10.536;-11.571;15.095;-6;85;-176;-54;1;2;2.693;5.385;5.493;0.754;0.754;0.969;4.308;0
2.693;4.78;4.78;13.512;-9.19;17.476;64;-6;85;-176;2;2;2.622;2.727;-1.888;-1.888;-1.678;1.573;2.832;0
2.622;7.527;7.527;16.488;-6.81;19.857;82;64;-6;85;2;3;0.102;-4.394;-4.394;-4.19;-1.022;0.204;-0.613;0
0.102;7.637;7.637;16.607;-6.714;19.952;96;82;64;-6;3;4;-4.492;-4.492;-4.288;-1.123;0.102;-0.715;-3.165;0
-4.492;2.802;2.802;11.369;-10.905;15.762;-90;96;82;64;2;4;0;0.214;3.528;4.81;3.955;1.39;6.895;1
0;2.802;2.802;11.369;-10.905;15.762;53;-90;96;82;1;4;0.214;3.528;4.81;3.955;1.39;6.895;4.383;1
0.214;3.022;3.022;11.607;3.022;3.022;13;53;-90;96;1;4;3.307;4.587;3.733;1.173;6.667;4.16;4.96;0
3.307;6.429;6.429;15.298;-7.762;18.905;77;13;53;-90;2;5;1.239;0.413;-2.065;3.252;0.826;1.6;2.426;0
1.239;0.051;7.747;16.726;7.747;7.747;56;77;13;53;3;5;-0.816;-3.264;1.989;-0.408;0.357;1.173;8.975;1
-0.816;-0.765;6.868;6.868;6.868;6.868;-102;56;77;13;2;4;-2.468;2.828;0.411;1.183;2.005;9.871;7.969;1
-2.468;-3.214;4.231;4.231;4.231;4.231;-214;-102;56;77;1;3;5.43;2.952;3.743;4.586;12.652;10.701;8.224;0
5.43;2.041;9.89;9.89;9.89;9.89;94;-214;-102;56;1;4;-2.35;-1.6;-0.8;6.85;5;2.65;2.1;1
-2.35;-0.357;-0.357;7.308;-0.357;-0.357;-32;94;-214;-102;1;4;0.768;1.587;9.421;7.527;5.12;4.557;9.063;1
0.768;0.408;0.408;8.132;-12.143;12.857;64;-32;94;-214;2;4;0.813;8.587;6.707;4.319;3.76;8.232;6.961;1
0.813;1.224;1.224;9.011;-11.429;13.571;45;64;-32;94;2;4;7.712;5.847;3.478;2.923;7.359;6.099;12.903;1
7.712;9.031;9.031;17.418;-4.598;20.402;94;45;64;-32;3;4;-1.731;-3.931;-4.445;-0.328;-1.497;4.82;11.184;1
-1.731;7.143;7.143;15.385;-6.25;18.75;33;94;45;64;2;4;-2.238;-2.762;1.429;0.238;6.667;13.143;8.476;1
-2.238;4.745;4.745;12.802;-8.348;16.652;26;33;94;45;1;4;-0.536;3.751;2.533;9.109;15.733;10.96;9.791;1
-0.536;4.184;4.184;12.198;-8.839;16.161;39;26;33;94;0;3;4.31;3.085;9.696;16.357;11.557;10.382;10.382;1
4.31;8.673;8.673;17.033;-4.911;20.089;91;39;26;33;1;4;-1.174;5.164;11.549;6.948;5.822;5.822;2.254;1
-1.174;0.238;7.398;15.659;-6.027;18.973;52;91;39;26;1;3;6.413;12.874;8.219;7.078;7.078;3.468;2.09;0
6.413;6.667;14.286;23.077;0;25;93;52;91;39;2;3;6.071;1.696;0.625;0.625;-2.768;-4.063;-6.25;0
6.071;13.143;21.224;30.549;6.071;31.071;95;93;52;91;2;3;-4.125;-5.135;-5.135;-8.333;-9.554;-11.616;-14.184;0
-4.125;8.476;8.476;25.165;-4.286;19.244;-7;95;93;52;2;3;-1.054;-1.054;-4.39;-5.663;-7.814;-10.492;-9.482;0
-1.054;0.625;7.333;23.846;-5.294;18.235;59;-7;95;93;1;3;0;-3.372;-4.658;-6.832;-9.539;-8.518;-6.788;0
0;0.625;7.333;15;-5.294;18.235;74;59;-7;95;0;3;-3.372;-4.658;-6.832;-9.539;-8.518;-6.788;-4.082;0
-3.372;-2.768;3.714;11.122;-8.487;15.042;9;74;59;-7;0;2;-1.331;-3.581;-6.382;-5.326;-3.535;-0.735;-5.096;0
-1.331;-4.063;2.333;9.643;-9.706;13.824;37;9;74;59;0;2;-2.28;-5.119;-4.048;-2.234;0.605;-3.816;-2.28;0
