x1;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;target
60000;40;0;0;0;0;0;0;57030;48742;35628;31738;28217;29817;5000;2000;1022;1009;5000;1000;0
200000;36;0;-1;-1;0;0;0;10317;5755;8587;7782;6987;7662;5788;8587;5314;5000;5000;6000;0
80000;23;0;0;0;0;0;0;80133;74838;62696;27693;25594;29155;3539;3180;818;1018;10006;3616;0
220000;47;-2;-2;-2;-2;-2;-2;7625;8325;1497;0;0;7625;8334;1497;0;0;7625;2226;0
80000;37;0;0;0;-1;0;-1;10559;11991;14286;1554;6554;2615;1621;5000;1554;5000;2615;5308;0
210000;31;0;0;0;0;0;0;161159;165071;173443;179686;197458;138218;8000;13000;10000;20000;7000;7000;0
110000;32;1;-1;0;0;0;-2;0;1670;11693;7903;-18;-18;1670;10200;0;0;0;0;0
70000;34;-2;-2;-1;0;0;0;58875;0;72772;39980;40126;39788;0;72772;1400;1500;1500;1600;0
130000;54;0;0;0;0;0;0;89913;90555;93576;95121;64712;66016;3300;5000;4500;2400;2600;2600;0
240000;41;0;0;0;0;0;0;226047;230787;236518;232756;214781;219313;10000;11000;10300;7700;8000;8100;0
100000;38;3;2;-1;-1;0;0;2156;1151;1151;35499;33051;36627;0;1151;35499;10000;6627;7000;0
200000;32;0;0;0;0;0;0;47550;51427;52672;53682;51841;52921;5000;2672;2492;2006;2069;2258;0
150000;28;0;0;0;0;0;0;86787;89610;86738;75859;74108;75898;5120;4021;2500;3000;2800;1700;0
180000;42;0;0;0;2;0;0;102449;104807;111048;107782;110879;113666;5500;9500;0;5000;5000;5000;0
200000;53;-1;-1;-1;-1;-2;-1;5059;0;16556;0;0;47140;0;16556;0;0;47140;0;0
180000;25;0;0;0;0;2;2;4745;5765;6631;8386;8109;8820;1257;1123;1878;0;1000;0;0
70000;32;0;0;0;0;0;0;37199;38296;39357;40302;41202;41865;1700;1700;1600;1700;1500;1600;0
180000;38;0;0;0;0;0;0;179307;183613;182709;149997;142612;140493;7294;6792;5490;5156;5232;6288;0
80000;50;2;0;0;0;0;0;115027;118188;117725;118100;60745;54509;6000;5500;4356;3000;2100;5000;0
290000;29;0;0;0;0;0;0;263796;268765;209697;212359;216989;221260;11320;10000;7600;8000;8000;8200;0
300000;45;1;-1;-1;-2;-2;-2;0;1669;0;0;0;0;1669;0;0;0;0;289;0
460000;32;0;0;0;0;0;0;386437;393742;392625;368365;377858;362132;15000;15000;15000;15000;15000;20000;0
150000;36;-1;-1;-1;-1;-1;-1;13447;17877;25172;4694;6292;13943;17914;25349;4694;6324;14433;17378;0
200000;29;0;-1;0;0;0;0;1467;439;2257;43720;43968;45182;439;2000;42000;1700;2000;1700;0
120000;30;2;-1;3;2;0;-1;1248;1701;1551;1410;479;3158;1701;0;9;0;3158;0;0
140000;30;-1;-1;-2;-2;-2;-2;854;0;0;0;0;0;0;0;0;0;0;0;0
50000;22;0;0;0;-1;0;0;46831;47233;22469;28197;18784;17263;4000;2442;28197;634;799;3200;0
190000;29;-2;-2;-2;-2;-2;-2;51632;9803;3427;924;-876;-969;1000;3524;929;869;7;1587;0
150000;42;-1;2;2;-1;0;-1;496;1188;940;965;965;726;940;0;965;0;726;0;0
80000;22;-1;-1;-1;-1;0;-1;1941;2132;1667;2146;1073;2761;2132;1667;2146;0;2761;1073;0
20000;27;0;0;0;0;-1;0;19667;15;15;41;10522;12340;0;0;26;19700;2000;2000;0
30000;51;0;0;-1;-1;-1;-1;11860;6846;7090;2680;390;0;1000;7090;2680;390;0;780;0
70000;48;0;0;0;-1;-1;-1;8439;7606;8638;1230;390;890;1188;2000;1230;390;890;215;0
80000;29;1;-2;-1;-1;-1;-2;0;0;1612;16388;0;0;0;1612;16415;0;0;1800;0
150000;32;-2;-2;-2;-2;-2;-2;833;1601;9253;33062;2328;4121;1606;9297;33243;2336;4140;10859;0
170000;57;0;0;0;0;0;0;163452;163148;161315;164366;124387;120529;7300;8000;7800;4600;5000;5100;0
20000;34;0;0;0;0;-1;0;15494;11950;11292;10790;780;780;1488;1220;608;780;0;0;0
210000;33;0;0;0;0;0;0;127491;118800;105606;94344;82676;73154;6018;4900;4340;2880;2650;2000;0
100000;27;0;0;0;0;0;0;152330;66107;60734;48816;28679;30231;3000;2231;1617;1000;2000;590;0
50000;24;0;0;-2;-2;-2;-2;34500;0;0;0;0;0;0;0;0;0;0;0;0
200000;33;-1;-1;-1;-1;-1;-1;1201;0;973;0;161;1174;0;973;0;161;1174;598;0
310000;43;-2;-2;-2;-2;-2;-2;14619;1881;13750;9837;7785;14460;12484;13961;9838;7785;14460;14195;0
310000;33;-2;-2;-2;-2;-2;-2;4040;4048;3959;205;3199;5104;4068;3964;205;3209;5109;1434;0
50000;59;1;2;0;0;0;0;44977;43981;44996;45736;46748;47816;0;2045;1785;1900;2000;2210;0
20000;30;3;2;3;3;5;4;15556;16987;18406;20795;20175;21265;2000;2000;3000;0;2000;0;0
190000;30;-1;-1;-1;0;-1;-1;6544;18191;18205;14442;31465;2589;19699;18295;9900;31465;2589;22041;0
60000;35;2;2;2;2;2;2;20195;21267;21332;21680;23011;23498;1700;700;1000;2000;1000;0;0
420000;27;0;0;0;0;0;0;41354;45723;33124;31987;23703;22776;7004;9000;7000;5000;5000;10433;0
50000;48;0;-1;-1;0;-1;-1;5994;1478;2946;1473;1473;1473;1478;4419;0;1473;1473;1473;0
170000;31;1;-1;2;-1;0;0;0;427;427;23321;23475;25218;427;0;23500;840;2121;0;0
100000;40;0;0;0;-1;-1;-1;99958;76554;58610;9779;12273;2701;2975;2789;9779;12273;3105;16828;0
130000;39;-2;-1;-1;-1;-1;-1;957;6214;1625;728;2464;1139;6220;1628;730;2466;1145;650;0
280000;37;-1;-1;0;0;0;0;1152;49293;44707;39607;37542;34812;49349;3045;5028;5034;5024;5002;0
10000;27;1;2;0;0;0;0;5150;4922;5941;6984;7120;7267;0;1257;1300;400;410;420;0
500000;33;0;0;0;0;0;0;5322;5920;6061;7289;8313;6490;1125;1280;1791;1528;1512;1370;0
240000;46;0;0;0;0;-2;-2;233438;240715;246000;-150;-150;-150;11250;10950;0;0;0;672;0
20000;35;0;0;2;0;0;0;16528;19347;18600;19000;19000;20000;3400;0;1000;0;1000;0;0
70000;31;0;0;0;0;0;0;72286;71602;72457;71058;29672;28836;2600;3500;3000;1000;1500;478;0
30000;38;2;0;0;0;0;-2;28484;29242;30037;29682;0;0;1905;1700;1108;0;0;0;0
50000;28;0;0;0;0;0;0;50998;51103;50262;20304;20319;20330;2209;1726;710;724;733;712;0
160000;28;-1;-1;-1;0;0;0;1049;2058;2164;3975;3720;5668;2060;2164;2000;1500;2000;1737;0
360000;28;0;0;0;0;0;0;264971;257086;253407;259551;265149;340930;9043;8847;10000;10000;80016;15000;0
210000;27;-1;-1;-1;-1;-1;-1;190;-310;1527;1901;0;2706;0;3054;2189;0;2706;0;0
210000;34;0;0;0;0;0;0;73329;74261;75602;76062;76287;76971;2700;3500;3300;3000;3000;3000;0
240000;37;0;0;0;0;0;0;180517;175125;176674;160551;150735;154200;8022;6161;5730;5486;5987;5568;0
180000;29;-1;-1;-2;-2;-2;-2;4184;0;0;0;0;0;0;0;0;0;0;0;0
120000;43;-1;-1;-2;-1;-1;-1;3972;2809;1021;2311;3868;2980;2816;1021;2321;3868;2980;0;0
300000;28;-1;-1;-1;-1;0;0;16094;2259;0;12880;14895;9386;2259;0;12880;2500;200;280;0
360000;36;-1;-1;-1;0;0;0;356913;208305;68214;168014;16209;18918;210000;170000;100000;3000;3000;5000;0
50000;25;1;-1;0;0;0;0;-1159;40819;11143;9580;9793;8768;48000;3009;1000;321;2000;1000;0
500000;29;-2;-2;-2;-2;-2;-2;902;0;0;0;0;0;0;0;0;0;0;19440;0
130000;28;0;0;0;0;0;-2;92174;93991;54735;31682;0;0;4086;2635;1700;0;0;0;0
280000;35;-1;2;2;-1;2;-1;199;199;-127;1012;536;982;0;0;1548;0;982;601;0
500000;46;-2;-2;-1;0;0;-1;28412;72222;248807;179086;160121;52190;72234;248902;3582;3202;52190;53710;0
160000;32;0;0;0;0;0;0;156098;156259;155404;153234;156731;155818;6000;6000;5600;6000;6000;5500;0
100000;36;0;0;0;0;0;0;21237;16723;15868;8275;5954;7075;3013;4031;3012;2006;3121;5781;0
150000;46;0;0;0;0;0;0;97832;98403;99263;100920;86781;71408;4555;3500;3300;3027;3000;2700;0
30000;25;-1;2;2;0;0;0;30119;31240;30311;30270;28958;30974;1900;0;957;7000;4530;0;0
70000;30;0;0;0;0;0;0;19492;20054;14016;14782;15249;15595;1600;1300;1000;701;1000;1000;0
20000;26;2;2;0;0;0;0;17368;16801;17789;17419;17628;18125;0;1281;771;640;790;761;0
120000;36;0;0;0;0;2;2;84171;76025;78068;78589;77213;82567;3438;4000;12242;0;6894;0;0
210000;37;-1;-1;-1;-1;0;0;430;1570;17036;73158;46823;1427;1570;17036;73158;936;29;630;0
100000;42;0;0;0;0;0;-2;61618;60380;58567;79527;18950;19667;2406;2200;22004;656;1000;396;0
10000;25;-1;-1;-1;-1;-1;-1;1261;1261;390;390;390;0;1261;390;390;390;0;780;0
50000;26;1;-2;-2;-1;-1;-1;0;0;0;1363;0;1624;0;0;1363;0;1624;2349;0
80000;25;0;0;0;0;0;0;47836;49038;53158;48269;48019;46908;2000;5000;2000;2000;2000;2000;0
30000;27;0;0;0;0;0;0;26135;27407;29002;26806;25948;22162;2000;2500;1500;1000;2000;3000;0
70000;35;0;0;0;0;0;0;68445;67371;68263;68927;69176;70592;3001;3052;3348;2617;2840;2674;0
440000;29;0;0;0;0;0;0;169661;167199;158520;156977;157963;151936;8071;9021;7013;6013;6028;6010;0
300000;38;-2;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;0
440000;28;0;0;0;0;0;0;412962;409812;393255;370202;258387;255740;15000;20000;15305;10070;15037;10052;0
20000;36;-2;-2;-2;-2;-2;-2;223;0;0;0;0;0;0;0;0;0;0;0;0
80000;44;2;0;0;0;2;2;57076;58358;58992;62696;64148;62965;2800;2200;4700;2600;0;4400;0
240000;33;0;0;0;2;0;0;64853;67948;197032;169878;164926;160600;8000;157500;0;5759;5775;6407;0
150000;32;0;0;0;0;0;0;23364;22846;25779;22303;16981;16837;1450;5779;1300;700;1000;1000;0
230000;28;0;0;0;0;0;0;53542;79186;49984;35526;24540;16038;36000;1222;7510;491;6600;0;0
220000;35;0;0;0;0;0;0;223150;226034;227153;174717;171145;174076;10000;9200;6300;6200;6600;9000;0
50000;27;2;0;0;-1;-1;-1;13979;11243;4396;3120;1805;16820;1261;1396;3125;1805;16820;3000;0
150000;53;0;0;0;0;0;0;29076;14131;15112;13652;86575;82377;1200;1500;3795;80000;1700;0;0
80000;45;0;0;0;0;0;0;30063;30399;24577;24788;18522;17873;1843;1233;882;633;842;12000;0
100000;26;0;0;0;0;0;0;46891;48134;49331;50508;51543;52685;2000;2000;2000;2000;2000;2000;0
260000;59;-1;-1;-1;-1;-1;-1;1929;-627;4134;792;1309;2557;627;7388;792;1312;2564;804;0
500000;43;-1;-1;-1;0;0;-1;3959;0;285138;249445;222831;200;0;285138;4989;100;200;528666;0
150000;44;0;0;0;0;0;0;146277;127679;73323;74783;76360;77868;3952;2614;2631;2735;2740;2720;0
90000;32;0;0;0;0;0;0;86076;87567;78646;79212;54659;55902;3012;3100;3116;2000;2100;2100;0
280000;39;0;0;0;0;0;0;97694;89690;86812;87813;88267;89676;4014;4300;4153;2900;2500;2600;0
120000;53;-1;2;-1;-1;0;-1;1743;316;316;632;316;316;0;316;632;0;316;816;0
400000;29;0;0;0;0;0;0;400134;398857;404205;360199;356656;364089;17000;15029;30000;12000;12000;23000;0
30000;28;2;2;2;2;2;2;19334;20218;19607;21778;22124;22622;1500;0;2500;1000;1000;900;0
50000;32;0;0;0;2;0;0;13185;5070;6815;6068;7798;8511;1255;2000;0;2000;1000;500;0
50000;41;0;0;0;0;0;0;50516;44187;20314;19707;19566;19916;2721;1750;1200;1000;1000;1000;0
240000;39;0;-1;0;0;0;0;52595;238861;198351;195242;187710;171828;238861;6678;7537;10555;5223;5829;0
230000;30;-1;-1;-2;-2;-2;-1;2380;0;0;0;0;31868;0;0;0;0;31868;13216;0
100000;45;0;0;0;0;0;0;10529;12723;15807;18901;21794;25051;2688;3688;3288;3288;3688;0;0
120000;44;0;0;0;0;0;0;16735;18150;19528;19065;18617;21381;2000;2000;2000;1000;3000;2000;0
110000;29;0;0;0;-2;-1;2;27340;17353;0;0;3161;2996;10000;0;0;3161;0;30000;0
260000;38;-1;-1;2;2;-1;2;263;511;248;-15;3526;263;512;1;1;3805;1;527;0
10000;37;0;-1;0;0;0;0;10000;7419;7392;8265;8631;17974;7419;1400;1000;500;500;500;0
150000;35;1;-1;-1;-2;-2;-1;0;1070;-240;-240;-240;390;1070;0;0;0;1170;390;0
30000;45;0;0;0;0;0;0;28185;28296;23455;24179;24289;24649;1377;1370;1294;1015;900;913;0
220000;29;-2;-2;-1;-1;-1;-2;-12;-12;88;2207;1577;-963;0;100;2300;3083;732;231;0
10000;41;0;0;0;0;0;3;6270;7303;8375;9268;10630;10188;1300;1350;1200;1500;0;0;0
250000;31;1;-2;-2;-2;-2;-1;0;0;0;0;0;1026;0;0;0;0;1026;1026;0
90000;33;-1;0;0;0;0;0;35785;29155;27485;29266;35598;38449;15155;5485;5263;8598;5449;6537;0
350000;37;0;0;0;0;0;0;128146;117713;51961;46207;35052;12536;4052;1700;1500;2000;500;2000;0
50000;34;0;0;0;0;0;0;24636;25064;51224;26230;18755;19227;1500;2300;2800;1000;1150;1000;0
130000;42;0;0;0;0;0;0;42946;43969;44975;45723;46515;47450;1676;1682;1430;1318;1331;1525;0
50000;38;0;0;0;0;0;0;21912;22939;23647;24118;24729;25267;1685;1393;864;1000;950;936;0
50000;59;0;0;-2;-2;-2;-2;25775;0;0;0;0;0;0;0;0;0;0;0;0
180000;32;0;0;0;0;0;0;136055;136095;136201;136857;130839;131059;6400;6400;7000;5000;5000;5000;0
160000;31;-2;-2;-2;-1;-1;-1;0;0;0;150;150;150;0;0;150;150;150;178;0
320000;39;0;0;0;0;0;0;38332;63396;66871;69339;31525;30861;30000;4700;3000;5000;5000;7000;0
230000;27;0;0;0;0;0;0;175050;164054;127369;108702;77703;79123;10000;10000;4000;3000;5000;5000;0
500000;39;1;-1;-1;-2;-2;-1;-397;227;-37;-37;-37;213;2200;0;0;0;250;0;0
380000;44;-1;0;0;0;0;0;40352;41385;42397;43243;45716;46629;1523;1535;1381;3000;1494;2000;0
320000;33;0;0;0;0;0;0;254065;136709;81130;103543;105623;107549;68000;12000;25000;3208;4031;94390;0
80000;31;1;2;0;0;0;0;27653;26703;26856;27844;27480;28061;0;1459;1447;983;1023;1042;0
460000;57;-2;-2;-2;-2;-2;-2;7516;23485;7398;6143;9634;9581;23524;7409;12286;9634;9581;38354;0
10000;23;0;0;-1;-1;0;0;17834;8511;1651;9984;10096;9847;1033;1651;9984;415;358;114;0
120000;31;-1;-1;-1;-1;-1;-1;1680;17749;4748;7002;202;345;17749;4748;7020;559;500;1660;0
250000;26;0;0;0;0;0;0;28507;138894;131031;83674;64760;52397;129565;10000;3011;3000;2500;2000;0
100000;30;2;2;2;2;2;2;29668;32463;33350;34003;34647;35348;3600;1700;1500;1500;1400;0;0
20000;31;1;-1;-1;-2;-2;-2;0;150;0;0;0;0;150;0;0;0;0;0;0
100000;22;1;2;0;0;0;0;96491;94043;97522;97696;90605;85293;0;5000;3000;2113;2995;139;0
520000;35;0;0;0;0;0;0;57536;60912;56728;55758;57911;54152;5000;7000;5000;5004;5000;5000;0
200000;26;0;0;0;-1;0;0;12557;11443;4794;11720;12293;10798;1084;1024;11726;2608;344;253;0
230000;28;0;-1;0;0;-1;0;15714;13171;24589;31111;60562;9968;13171;20015;11000;60562;8000;6059;0
50000;25;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;0
260000;26;0;0;0;0;0;0;217735;222109;220219;206666;185282;167161;9553;7893;9241;7106;6506;6240;0
500000;35;-1;0;-1;-1;-1;0;172041;70011;12976;34469;27425;28506;58761;13976;34828;28289;18175;17500;0
520000;34;0;0;0;0;0;0;203647;185853;178531;170915;162864;155297;6501;7001;5989;5701;6001;6001;0
120000;51;-1;-1;0;0;0;0;4777;60332;60702;58677;51549;46552;62462;2299;1919;1838;2200;90000;0
280000;51;-2;-2;-2;-2;-2;-2;2158;0;0;0;0;0;0;0;0;0;0;0;0
150000;42;0;0;0;0;0;0;148826;148568;151864;147485;106607;98109;6000;6012;5012;5000;4000;4000;0
290000;25;-1;-1;-1;0;0;0;11102;9327;22149;23737;13449;17963;9358;22149;20000;3449;7000;11041;0
150000;42;0;0;0;0;0;0;89341;79904;72182;61014;49502;46055;5000;6000;3000;2000;10000;5000;0
190000;26;-1;0;0;0;0;0;2204;3479;4886;6258;8969;9009;1800;1797;1785;3142;490;2000;0
20000;46;1;2;0;0;0;0;19450;18844;19853;19894;19993;20030;0;1626;1615;710;720;1587;0
160000;48;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;0
500000;52;-1;-1;-1;-2;-2;-2;1323;1725;0;0;0;0;1725;0;0;0;0;0;0
240000;41;0;0;0;2;3;3;102488;105785;109082;119221;118144;118029;6500;6500;13500;2300;2002;0;0
20000;27;0;0;0;0;0;0;14248;15703;17140;18127;18605;16351;2000;2000;1600;1030;1000;1000;0
130000;32;0;0;0;0;0;0;126741;126889;125733;118394;96230;98583;6100;6103;4823;4000;4000;4000;0
50000;36;0;0;0;0;-2;-2;47911;48418;7000;0;0;0;2166;1000;0;0;0;0;0
130000;25;0;0;0;0;0;0;37112;34653;9522;3939;6939;950;2009;2000;2000;3000;900;0;0
50000;36;0;0;0;0;0;-2;9214;10359;7350;7500;0;0;1351;1500;150;0;0;0;0
330000;33;0;0;0;0;0;0;166917;159118;149325;143242;138627;139977;7400;6600;4800;5000;5400;5100;0
190000;33;0;0;0;0;0;0;142272;143386;141711;142569;141733;142982;8007;8000;8000;5500;5339;5058;0
430000;38;1;-1;-1;-2;-2;-1;-469;215;-101;-1217;-2333;2351;1000;0;0;0;5000;12000;0
190000;36;0;0;0;0;0;0;79584;83108;82179;80874;81720;87685;7007;2912;2871;3501;8001;3234;0
360000;28;-1;-1;-1;-1;-1;-1;7071;401;3545;10540;10132;6220;1510;3575;10573;10155;6240;16071;0
50000;23;-1;-1;-1;-1;0;0;350;350;400;1695;12645;12584;350;400;1695;11300;485;2400;0
210000;39;0;0;0;0;0;-1;26749;34451;25200;19850;15530;13021;14000;3007;5000;1000;13021;22171;0
50000;23;0;0;0;0;0;0;26956;27596;28192;28356;28554;28718;1462;1448;1002;1032;1024;1028;0
350000;37;0;0;0;0;0;0;219376;221056;224591;255247;259512;283724;7669;7957;35300;9247;29459;20000;0
400000;32;0;0;0;0;0;0;46782;48075;48815;49831;50821;51884;2036;1776;1792;1782;1844;1856;0
400000;39;0;0;0;0;0;0;399099;272898;202937;169138;144434;124802;15395;10232;12115;6285;11106;3124;0
80000;53;0;0;0;0;0;0;37242;37634;38281;38993;39268;39620;2000;2000;2000;2000;1408;1300;0
140000;45;-1;-1;-1;-1;-1;-1;316;316;316;316;632;150;316;316;316;632;150;316;0
140000;26;-1;0;-1;-1;-1;-1;13424;18000;13001;5818;13506;487;10000;13001;5841;13506;487;7004;0
110000;34;0;0;2;2;2;2;43780;48076;48989;47900;52123;51131;5000;2000;0;5000;0;5000;0
310000;44;-2;-2;-2;-2;-2;-2;6571;1156;1156;1889;3367;2267;1156;1156;1889;3367;2267;0;0
110000;40;0;0;0;0;0;0;101781;101811;105848;103018;42298;43464;3700;5700;3100;2000;2000;1700;0
280000;32;-2;-2;-2;-2;-2;-2;19668;1000;3186;44932;2100;0;1000;3186;45028;2100;0;0;0
140000;30;0;0;0;0;0;0;124288;123172;130095;122342;77536;80783;10000;18000;10000;10000;20000;15000;0
500000;46;-1;-1;-1;0;0;0;886;21803;90182;79310;68380;58772;21831;90182;2500;2380;2772;3000;0
440000;29;-1;-1;-1;-1;0;0;23147;88848;42045;400321;229680;265404;70554;45213;400972;5456;100267;7530;0
210000;29;0;0;0;-1;-1;0;145499;107712;-564;4270;143607;144505;4751;0;6000;143754;5000;5314;0
80000;25;0;0;0;0;0;0;76117;76660;46137;48218;48286;48207;2300;2200;3207;2000;2000;2000;0
230000;43;0;0;0;0;0;0;7806;8392;8967;8729;10816;15893;1295;1300;468;2816;5893;5977;0
30000;22;-1;0;-1;-1;-1;-1;13271;9277;2655;2800;4503;780;2015;2655;2800;4503;780;11500;0
30000;21;2;2;2;0;0;0;28309;31229;29752;27262;27262;24265;3700;0;0;0;0;0;0
130000;25;0;0;0;2;2;2;113290;112561;119435;105382;49643;46812;5650;12421;0;7000;0;2000;0
50000;54;0;0;0;0;0;0;46137;46975;47500;47921;17125;16686;2000;2045;1466;600;604;608;0
210000;52;-2;-2;-2;-2;-2;-1;5649;5398;435;18950;6804;59999;5425;437;19053;6838;59999;214;0
320000;46;-1;-1;-1;-1;-1;-1;57593;534;2709;0;7779;0;534;2709;0;7779;0;417;0
10000;24;1;2;0;0;2;2;6779;6524;7559;9564;9264;9862;0;1300;2300;0;900;500;0
80000;23;2;2;2;0;0;2;20661;22515;23339;23654;25119;24567;2500;1500;1000;2000;0;1058;0
20000;40;-1;-1;0;0;0;0;9755;894;5625;9625;12625;0;894;5000;4000;3000;0;0;0
220000;36;-2;-2;-2;-2;-2;-2;122;104;2635;2460;859;2784;104;2653;2472;859;2784;2287;0
210000;53;-1;-1;-1;-1;-1;-1;6060;5934;9303;10976;2543;3483;5983;9331;11008;2550;3493;1308;0
260000;43;1;-1;2;0;-1;-1;-10;5172;2800;3804;5009;3035;5182;9;2998;5034;3050;2965;0
240000;47;-2;-1;-1;-2;-1;-1;27884;23222;0;0;13143;27383;23610;0;0;13143;27383;21718;0
440000;36;0;-1;-1;-1;0;0;14234;11061;19669;18613;13669;24849;11066;19669;33152;0;20000;7046;0
270000;25;0;0;0;0;0;0;23579;24613;25617;25434;25966;26486;1419;1423;910;942;951;1000;0
80000;24;-1;-1;-1;-1;-1;-1;15621;3760;1368;0;1421;0;3768;1368;0;1421;0;0;0
50000;44;1;2;2;2;0;0;38671;36772;33101;28192;22676;14647;2300;1700;0;517;503;585;0
360000;25;2;2;-2;-2;-2;-2;1614;-40;-40;-40;-40;1153;40;0;0;0;1193;17;0
280000;30;-1;-1;-1;0;0;-1;1478;-3;12353;22633;7666;10260;0;12356;11079;1447;10310;290;0
20000;37;0;0;0;-1;-1;-2;19716;20518;16551;1700;0;0;1547;1350;1700;0;0;0;0
200000;27;-2;-2;-2;-2;-2;-2;4941;5555;15546;1665;3370;-36;5610;15616;1673;3385;0;95456;0
220000;36;-1;-1;-1;-1;0;-1;16783;4861;2267;1350;925;11597;4880;2267;1350;0;11597;178577;0
30000;50;0;0;2;0;0;0;27284;29001;28201;28763;29383;28987;4664;0;994;1047;1412;756;0
160000;53;-1;-1;-1;-1;-1;-1;791;9164;4791;2999;961;994;9173;4805;3008;1742;998;1101;0
150000;26;-1;0;0;0;0;0;29997;31171;30356;30545;31257;33762;2000;2000;2000;1200;3000;2000;0
200000;29;0;0;0;0;0;0;203621;203424;199728;195609;131981;131294;7464;7889;6600;4602;4900;4726;0
100000;30;2;0;0;0;0;0;53718;55851;56424;57584;58957;60317;3000;2100;2100;2300;2500;2500;0
70000;41;0;0;0;0;0;0;69866;63679;54762;38750;39924;37757;10000;5090;2000;2000;4000;2000;0
200000;37;-1;0;0;0;0;0;173867;139769;132534;116331;111178;105907;7000;5000;4500;5000;5000;4300;0
390000;29;0;0;0;0;0;0;89953;107947;60313;55769;65835;72177;25000;35127;20000;12000;7500;15000;0
130000;34;0;0;0;0;0;0;66803;27910;24976;27648;29962;27422;3000;3000;3000;3000;5000;3000;0
30000;48;0;0;0;0;0;0;27879;28870;27806;25142;25667;26179;1774;1710;1046;1079;1089;2244;0
60000;31;2;2;2;0;0;0;30841;34336;33489;35615;38027;39239;4000;0;3000;3000;2000;3000;0
220000;51;0;0;0;0;0;0;44076;40353;36314;32320;27803;25370;2000;1600;1600;1000;3000;1000;0
360000;34;-2;-2;-2;-2;-2;-2;2433;1218;505;843;-4;2237;1230;505;843;4;2241;56;0
30000;48;1;-1;-1;-2;-2;-2;-100;100;0;0;0;0;200;0;0;0;0;0;0
200000;33;1;-1;0;0;0;0;-7082;12270;29787;32040;7773;12681;21179;20000;3000;1000;5000;500;0
